Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Kristaps Porzingis,0.5575239,0.467826544,0.089697356,WAS,PF/C,65,32.60846154,23.15384615,2.107692308,8.4,2.676923077,0.892307692,1.538461538,0.498035363,15.66153846,0.850961538,6.4,2.107692308
Donovan Mitchell,0.595817177,0.429157814,0.166659363,CLE,PG/SG,68,35.76911765,28.26470588,3.602941176,4.25,4.426470588,1.455882353,0.397058824,0.484308131,20.61764706,0.866847826,5.411764706,2.647058824
Luka Doncic,0.712441443,0.407634216,0.304807227,DAL,PG/SG,66,36.21994949,32.39393939,2.803030303,8.621212121,8.015151515,1.363636364,0.5,0.496204279,21.95454545,0.742074928,10.51515152,3.575757576
James Harden,0.671604699,0.400140348,0.271464352,PHI,PG/SG,58,36.81034483,20.96551724,2.775862069,6.103448276,10.65517241,1.224137931,0.534482759,0.440617577,14.51724138,0.867036011,6.224137931,3.362068966
Fred VanVleet,0.416371,0.352967063,0.063403937,TOR,PG,69,36.73888889,19.34782609,3,4.057971014,7.173913043,1.782608696,0.550724638,0.392985612,16.11594203,0.897526502,4.101449275,2.028985507
Lauri Markkanen,0.396452404,0.349381127,0.047071277,UTA,SF/PF,66,34.43282828,25.62121212,3.03030303,8.636363636,1.863636364,0.636363636,0.575757576,0.498689956,17.34848485,0.874686717,6.045454545,1.924242424
Myles Turner,0.302472959,0.301290075,0.001182884,IND,C,62,29.43817204,17.9516129,1.5,7.516129032,1.435483871,0.580645161,2.258064516,0.548431105,11.82258065,0.782608696,4.451612903,1.661290323
Domantas Sabonis,0.47428311,0.285495075,0.188788035,SAC,PF/C,79,34.62890295,19.11392405,0.392405063,12.3164557,7.253164557,0.82278481,0.493670886,0.615138593,11.87341772,0.742009132,5.544303797,2.911392405
Brook Lopez,0.227987922,0.274105458,-0.046117536,MIL,C,78,30.41666667,15.88461538,1.743589744,6.666666667,1.269230769,0.474358974,2.474358974,0.530589544,11.52564103,0.784210526,2.435897436,1.371794872
LeBron James,0.507151054,0.270904547,0.236246508,LAL,SF/PF,55,35.52515152,28.90909091,2.2,8.309090909,6.818181818,0.909090909,0.581818182,0.499589828,22.16363636,0.767584098,5.945454545,3.236363636
Nicolas Claxton,0.207893831,0.270888428,-0.062994596,BKN,C,76,29.8754386,12.64473684,0,9.236842105,1.894736842,0.855263158,2.486842105,0.70528109,7.723684211,0.540650407,3.236842105,1.263157895
Paul George,0.478434669,0.257983648,0.22045102,LAC,SG/SF/PF,56,34.62410714,23.78571429,2.821428571,6.107142857,5.142857143,1.482142857,0.357142857,0.457171315,17.92857143,0.870748299,5.25,3.142857143
Nikola Vucevic,0.244773967,0.245441541,-0.000667574,CHI,C,82,33.49004065,17.64634146,1.475609756,11.01219512,3.231707317,0.731707317,0.695121951,0.520034843,14,0.835443038,1.926829268,1.695121951
O.G. Anunoby,0.253521852,0.216143457,0.037378396,TOR,SG/SF,67,35.60646766,16.7761194,2.119402985,4.955223881,1.955223881,1.910447761,0.746268657,0.475706215,13.20895522,0.838323353,2.492537313,1.970149254
DeMar DeRozan,0.255731752,0.204975717,0.050756036,CHI,SF/PF,74,36.23783784,24.54054054,0.621621622,4.635135135,5.094594595,1.121621622,0.486486486,0.504221028,17.60810811,0.871892925,7.067567568,2.067567568
Devin Booker,0.334449469,0.184861942,0.149587528,PHO,SG/SF,53,34.63081761,27.75471698,2.094339623,4.528301887,5.528301887,0.962264151,0.339622642,0.493908154,20.13207547,0.854748603,6.754716981,2.735849057
LaMelo Ball,0.45778457,0.180251331,0.277533239,CHA,PG/SG,36,35.2162037,23.27777778,4,6.416666667,8.444444444,1.277777778,0.305555556,0.410540915,20.02777778,0.836065574,3.388888889,3.583333333
Chris Paul,0.201524219,0.175038482,0.026485737,PHO,PG,59,32.01045198,13.88135593,1.661016949,4.254237288,8.881355932,1.542372881,0.372881356,0.44011976,11.3220339,0.83125,2.711864407,1.93220339
Mikal Bridges,0.138703652,0.173399196,-0.034695544,BKN,SG/SF,83,35.69919679,20.13253012,2.036144578,4.385542169,3.289156627,1.096385542,0.734939759,0.468034728,15.26506024,0.895184136,4.253012048,1.530120482
Jarrett Allen,0.094503067,0.156011383,-0.061508316,CLE,C,68,32.64779412,14.25,0.014705882,9.794117647,1.661764706,0.794117647,1.235294118,0.643769968,9.205882353,0.733031674,3.25,1.367647059
Dejounte Murray,0.212160716,0.153494451,0.058666265,ATL,PG/SG,74,36.39662162,20.47297297,1.797297297,5.256756757,6.054054054,1.513513514,0.256756757,0.46398787,17.82432432,0.831578947,2.567567568,2.162162162
Bam Adebayo,0.261330669,0.152558839,0.108771831,MIA,C,75,34.64088889,20.38666667,0.013333333,9.173333333,3.2,1.173333333,0.813333333,0.540394973,14.85333333,0.805970149,5.36,2.493333333
Desmond Bane,0.208605522,0.148952347,0.059653174,MEM,SG/SF,58,31.74913793,21.5,2.862068966,5.017241379,4.379310345,0.965517241,0.379310345,0.479233227,16.18965517,0.882926829,3.534482759,2.172413793
Jrue Holiday,0.3068078,0.132731558,0.174076242,MIL,PG/SG,67,32.57562189,19.25373134,2.358208955,5.089552239,7.388059701,1.179104478,0.373134328,0.478983382,15.26865672,0.858757062,2.641791045,2.940298507
Karl-Anthony Towns,0.304788761,0.127537344,0.177251417,MIN,PF/C,29,33.00172414,20.75862069,2.068965517,8.137931034,4.827586207,0.689655172,0.586206897,0.495327103,14.75862069,0.874074074,4.655172414,2.965517241
Anthony Edwards,0.341636039,0.11810262,0.223533419,MIN,SG/SF,79,35.9685654,24.63291139,2.696202532,5.797468354,4.430379747,1.582278481,0.734177215,0.458792992,19.50632911,0.755924171,5.341772152,3.278481013
Clint Capela,-0.04308511,0.106082502,-0.149167612,ATL,C,65,26.61820513,11.98461538,0,11.03076923,0.892307692,0.692307692,1.215384615,0.652985075,8.246153846,0.603053435,2.015384615,0.830769231
De'Aaron Fox,0.19025876,0.09125502,0.09900374,SAC,PG,73,33.35890411,25.01369863,1.630136986,4.191780822,6.123287671,1.136986301,0.315068493,0.512396694,18.23287671,0.779545455,6.02739726,2.479452055
Pascal Siakam,0.15962639,0.07739452,0.082231869,TOR,PF/C,71,37.34882629,24.22535211,1.309859155,7.830985915,5.845070423,0.915492958,0.507042254,0.479817212,18.49295775,0.774261603,6.676056338,2.38028169
Trey Murphy,-0.092235647,0.070294817,-0.162530464,NOR,SF/PF,79,30.98670886,14.53164557,2.556962025,3.556962025,1.417721519,1.126582278,0.544303797,0.48375,10.12658228,0.905263158,2.405063291,0.772151899
Jalen Brunson,0.104417791,0.067688385,0.036729406,NYK,PG/SG,68,34.98210784,24.01470588,1.970588235,3.544117647,6.191176471,0.897058824,0.220588235,0.491213389,17.57352941,0.829081633,5.764705882,2.088235294
Jaylen Brown,0.227176384,0.061948077,0.165228306,BOS,SG/SF,67,35.89452736,26.62686567,2.432835821,6.850746269,3.462686567,1.119402985,0.388059701,0.490961678,20.64179104,0.764534884,5.134328358,2.940298507
Darius Garland,0.215647755,0.059281693,0.156366062,CLE,PG,69,35.46642512,21.5942029,2.449275362,2.68115942,7.797101449,1.231884058,0.130434783,0.462356067,16.36231884,0.862928349,4.652173913,2.884057971
Buddy Hield,0.03988709,0.057607265,-0.017720175,IND,SG/SF,80,31.02354167,16.8,3.6,5,2.8125,1.15,0.325,0.45761079,12.975,0.821705426,1.6125,1.7375
Zach LaVine,0.15659516,0.055935939,0.100659221,CHI,SG/SF,77,35.9474026,24.84415584,2.649350649,4.480519481,4.246753247,0.896103896,0.233766234,0.484870317,18.02597403,0.848130841,5.558441558,2.519480519
Trae Young,0.393037766,0.051758768,0.341278997,ATL,PG,73,34.80547945,26.21917808,2.109589041,2.97260274,10.15068493,1.095890411,0.123287671,0.429496403,19.04109589,0.885758998,8.753424658,4.109589041
Mitchell Robinson,-0.137641564,0.040345586,-0.17798715,NYK,C,59,26.96779661,7.372881356,0,9.406779661,0.898305085,0.949152542,1.847457627,0.671428571,4.745762712,0.483606557,2.06779661,0.694915254
Evan Mobley,0.035489601,0.038789214,-0.003299613,CLE,PF/C,79,34.36940928,16.16455696,0.278481013,9,2.835443038,0.759493671,1.506329114,0.55438226,11.98734177,0.674342105,3.848101266,1.848101266
Cam Johnson,-0.120968172,0.03008837,-0.151056542,BKN,SF/PF,42,28.56587302,15.47619048,2.452380952,4.404761905,1.857142857,1.19047619,0.333333333,0.470464135,11.28571429,0.841666667,2.857142857,0.880952381
Bradley Beal,0.184568876,0.02950702,0.155061856,WAS,SG,50,33.45833333,23.2,1.6,3.92,5.42,0.9,0.66,0.505694761,17.56,0.842105263,4.56,2.9
Deandre Ayton,0.003219725,0.017796157,-0.014576432,PHO,C,67,30.37985075,17.95522388,0.104477612,9.955223881,1.71641791,0.552238806,0.791044776,0.588500564,13.23880597,0.76,2.985074627,1.791044776
Walker Kessler,-0.156905681,0.011242351,-0.168148032,UTA,PF/C,74,23.01756757,9.175675676,0.013513514,8.378378378,0.932432432,0.351351351,2.337837838,0.719806763,5.594594595,0.51572327,2.148648649,0.783783784
Tobias Harris,-0.0998979,0.005445204,-0.105343104,PHI,SF/PF,74,32.91711712,14.66216216,1.702702703,5.72972973,2.513513514,0.918918919,0.540540541,0.500591716,11.41891892,0.875968992,1.743243243,1.202702703
Delon Wright,-0.149057276,0.00524866,-0.154305936,WAS,PG/SG,50,24.423,7.38,0.82,3.6,3.88,1.84,0.34,0.474226804,5.82,0.866666667,1.2,0.88
Rudy Gobert,-0.018671889,0.004832691,-0.02350458,MIN,C,70,30.69214286,13.41428571,0,11.62857143,1.242857143,0.8,1.357142857,0.659340659,7.8,0.644117647,4.857142857,1.742857143
Jamal Murray,0.05142888,0.0013734,0.05005548,DEN,PG/SG,65,32.82102564,19.96923077,2.646153846,3.953846154,6.153846154,1.015384615,0.246153846,0.454370797,16.01538462,0.833333333,3.323076923,2.230769231
Brandon Ingram,0.205553889,-0.004262284,0.209816173,NOR,SG/SF/PF,45,34.18222222,24.71111111,1.422222222,5.466666667,5.822222222,0.711111111,0.422222222,0.483832335,18.55555556,0.882352941,6.044444444,3.288888889
Andrew Wiggins,-0.097921267,-0.005549244,-0.092372023,GSW,SF/PF,37,32.16936937,17.10810811,2.405405405,5.027027027,2.297297297,1.216216216,0.756756757,0.472589792,14.2972973,0.611111111,1.945945946,1.297297297
Gary Trent,-0.178965909,-0.015046074,-0.163919835,TOR,PG/SG,66,32.08964646,17.39393939,2.515151515,2.621212121,1.606060606,1.575757576,0.212121212,0.43315508,14.16666667,0.83902439,3.106060606,0.833333333
Al Horford,-0.217457378,-0.016095363,-0.201362014,BOS,PF/C,63,30.50952381,9.777777778,2.301587302,6.19047619,3,0.476190476,0.968253968,0.475991649,7.603174603,0.714285714,0.333333333,0.587301587
Klay Thompson,-0.038067026,-0.017765984,-0.020301042,GSW,SG/SF,69,33.02705314,21.86956522,4.362318841,4.144927536,2.362318841,0.710144928,0.420289855,0.436102236,18.14492754,0.878787879,1.913043478,1.782608696
Jakob Poeltl,-0.047432804,-0.019823195,-0.027609609,TOR,C,72,26.47384259,12.45833333,0,9.069444444,2.736111111,0.916666667,1.194444444,0.629449838,8.583333333,0.592039801,2.791666667,1.736111111
Zion Williamson,0.205181967,-0.021430107,0.226612074,NOR,PF/C,29,32.97011494,26,0.24137931,6.965517241,4.586206897,1.103448276,0.551724138,0.607675906,16.17241379,0.713709677,8.551724138,3.413793103
Kris Dunn,-0.074702072,-0.024489152,-0.05021292,UTA,PG/SG,22,25.7969697,13.18181818,0.772727273,4.545454545,5.636363636,1.136363636,0.454545455,0.537037037,9.818181818,0.773584906,2.409090909,1.590909091
Robert Williams,-0.168926267,-0.024737338,-0.144188929,BOS,C,35,23.53095238,7.971428571,0,8.342857143,1.428571429,0.628571429,1.371428571,0.747058824,4.857142857,0.609756098,1.171428571,0.971428571
Jerami Grant,-0.038875017,-0.026391785,-0.012483232,POR,PF,63,35.64338624,20.47619048,2.285714286,4.492063492,2.380952381,0.80952381,0.841269841,0.475355969,14.49206349,0.812865497,5.428571429,1.841269841
Jalen Williams,-0.069965903,-0.026896732,-0.04306917,OKC,SG/SF,75,30.34,14.08,0.973333333,4.493333333,3.306666667,1.373333333,0.466666667,0.521410579,10.58666667,0.811518325,2.546666667,1.64
Julius Randle,0.101827038,-0.031261436,0.133088474,NYK,PF,77,35.55,25.14285714,2.831168831,9.961038961,4.103896104,0.636363636,0.272727273,0.459497207,18.5974026,0.757062147,6.896103896,2.805194805
De'Anthony Melton,-0.140741454,-0.04730222,-0.093439233,PHI,PG/SG,77,27.91926407,10.12987013,2.038961039,4.051948052,2.558441558,1.636363636,0.532467532,0.425499232,8.454545455,0.793103448,1.12987013,1.324675325
Onyeka Okongwu,-0.1901956,-0.049179885,-0.141015715,ATL,C,80,23.10729167,9.8875,0.05,7.2,1.0125,0.7,1.3375,0.637826962,6.2125,0.780612245,2.45,1.0125
Tyrese Maxey,-0.144177201,-0.051523327,-0.092653874,PHI,PG/SG,60,33.59472222,20.3,2.666666667,2.933333333,3.533333333,0.816666667,0.133333333,0.480832421,15.21666667,0.845070423,3.55,1.333333333
Devin Vassell,-0.120023158,-0.052519916,-0.067503241,SAS,SG/SF,38,31.00219298,18.5,2.710526316,3.894736842,3.578947368,1.131578947,0.447368421,0.438655462,15.65789474,0.78,2.631578947,1.5
Tyler Herro,0.009365624,-0.053195176,0.0625608,MIA,PG/SG,67,34.87711443,20.10447761,3.029850746,5.373134328,4.179104478,0.76119403,0.23880597,0.439134355,16.55223881,0.934065934,2.71641791,2.358208955
D'Angelo Russell,0.046291497,-0.055623926,0.101915423,LAL,PG/SG,71,32.45234742,17.78873239,2.732394366,3.028169014,6.154929577,0.985915493,0.408450704,0.469409283,13.35211268,0.828703704,3.042253521,2.61971831
Michael Porter Jr.,-0.192874911,-0.062921749,-0.129953162,DEN,SF/PF,62,28.99704301,17.41935484,3.032258065,5.5,1.048387097,0.596774194,0.467741935,0.487148103,13.17741935,0.8,1.935483871,1.096774194
Kyle Anderson,-0.132908977,-0.062997159,-0.069911819,MIN,SF/PF,69,28.35531401,9.376811594,0.623188406,5.333333333,4.855072464,1.130434783,0.913043478,0.509090909,7.173913043,0.735294118,1.971014493,1.492753623
Alperen Sengun,0.024538472,-0.068707202,0.093245674,HOU,C,75,28.94488889,14.78666667,0.253333333,9.04,3.88,0.933333333,0.933333333,0.553191489,10.65333333,0.715277778,3.84,2.573333333
Kevin Porter,0.110776418,-0.074698794,0.185475212,HOU,PG,59,34.30367232,19.15254237,2.389830508,5.322033898,5.728813559,1.389830508,0.288135593,0.442307692,14.98305085,0.784090909,4.474576271,3.186440678
Scottie Barnes,-0.071925726,-0.077167193,0.005241467,TOR,SF/PF,77,34.77748918,15.31168831,0.818181818,6.649350649,4.818181818,1.077922078,0.792207792,0.455708661,13.19480519,0.772357724,3.194805195,2
Derrick White,-0.212021222,-0.08826633,-0.123754892,BOS,PG/SG,82,28.28292683,12.40243902,1.817073171,3.573170732,3.914634146,0.658536585,0.926829268,0.461741425,9.243902439,0.875,2.341463415,1.158536585
Josh Hart,-0.154393356,-0.0883923,-0.066001056,NYK,SG/SF,76,32.29035088,9.776315789,0.802631579,7.802631579,3.815789474,1.157894737,0.276315789,0.528846154,6.842105263,0.75,2.315789474,1.539473684
C.J. McCollum,-0.017896443,-0.088453647,0.070557204,NOR,PG/SG,75,35.31711111,20.90666667,2.813333333,4.373333333,5.72,0.933333333,0.506666667,0.436755952,17.92,0.768907563,3.173333333,2.44
Kevin Huerter,-0.192768518,-0.089323565,-0.103444953,SAC,SG/SF,75,29.37133333,15.2,2.733333333,3.346666667,2.946666667,1.066666667,0.32,0.484988453,11.54666667,0.72519084,1.746666667,1.293333333
Markelle Fultz,-0.047804147,-0.098412804,0.050608657,ORL,PG/SG,60,29.63361111,13.95,0.45,3.9,5.683333333,1.45,0.433333333,0.513991163,11.31666667,0.783216783,2.383333333,2.316666667
Christian Wood,-0.126457256,-0.099484227,-0.026973029,DAL,PF/C,67,25.94626866,16.62686567,1.567164179,7.328358209,1.805970149,0.447761194,1.074626866,0.514954486,11.47761194,0.772241993,4.194029851,1.805970149
Kelly Oubre,-0.202788645,-0.103622388,-0.099166256,CHA,SG/SF,48,32.24027778,20.25,2.25,5.1875,1.125,1.416666667,0.375,0.431013431,17.0625,0.759615385,4.333333333,1.333333333
Ja Morant,0.104863479,-0.105648975,0.210512454,MEM,PG,61,31.93989071,26.16393443,1.508196721,5.852459016,8.081967213,1.081967213,0.262295082,0.466227348,19.90163934,0.748490946,8.147540984,3.37704918
Spencer Dinwiddie,-0.132539176,-0.108863356,-0.02367582,BKN,PG/SG,79,34.49831224,17.32911392,2.291139241,3.417721519,6.518987342,0.848101266,0.303797468,0.438095238,13.29113924,0.812121212,4.17721519,1.835443038
Kentavious Caldwell-Pope,-0.239598549,-0.109145591,-0.130452959,DEN,SG/SF,76,31.33179825,10.81578947,1.776315789,2.736842105,2.407894737,1.473684211,0.460526316,0.462025316,8.315789474,0.824,1.644736842,1.131578947
Tre Jones,-0.173785109,-0.116167271,-0.057617839,SAS,PG,68,29.17156863,12.86764706,0.661764706,3.602941176,6.588235294,1.308823529,0.132352941,0.458950202,10.92647059,0.860465116,2.529411765,1.617647059
Draymond Green,0.002003565,-0.118554511,0.120558075,GSW,PF/C,73,31.47237443,8.452054795,0.547945205,7.191780822,6.849315068,1.01369863,0.821917808,0.52742616,6.493150685,0.712962963,1.479452055,2.794520548
Terry Rozier,-0.099235954,-0.118560551,0.019324597,CHA,PG/SG,63,35.2537037,21.0952381,2.619047619,4.111111111,5.063492063,1.174603175,0.253968254,0.414983165,18.85714286,0.809090909,3.492063492,2.126984127
PJ Washington,-0.1947106,-0.119832049,-0.074878551,CHA,PF/C,73,32.59680365,15.67123288,2.04109589,4.904109589,2.397260274,0.904109589,1.082191781,0.443762781,13.39726027,0.729885057,2.383561644,1.506849315
Mike Conley,-0.194535307,-0.12378283,-0.070752477,MIN,PG,67,30.27313433,11.91044776,2.014925373,2.71641791,6.71641791,1.089552239,0.208955224,0.427868852,9.104477612,0.834319527,2.52238806,1.537313433
Anfernee Simons,-0.121691487,-0.13010027,0.008408783,POR,PG/SG,62,35.00994624,21.06451613,3.419354839,2.596774194,4.080645161,0.677419355,0.225806452,0.446889952,16.85483871,0.893854749,2.887096774,2.064516129
John Collins,-0.272937609,-0.13623218,-0.136705429,ATL,PF/C,71,29.99530516,13.11267606,0.985915493,6.507042254,1.197183099,0.591549296,1.028169014,0.507779349,9.957746479,0.803370787,2.507042254,1.112676056
Herb Jones,-0.249537132,-0.145176599,-0.104360533,NOR,SG/SF/PF,66,29.55353535,9.833333333,0.848484848,4.075757576,2.454545455,1.560606061,0.636363636,0.469061876,7.590909091,0.763975155,2.439393939,1.333333333
Giannis Antetokounmpo,0.13048446,-0.154011025,0.284495485,MIL,PF/C,63,32.11931217,31.0952381,0.746031746,11.77777778,5.698412698,0.825396825,0.80952381,0.553208138,20.28571429,0.64507772,12.25396825,3.904761905
Wendell Carter Jr.,-0.181347966,-0.155511954,-0.025836012,ORL,PF/C,57,29.64181287,15.22807018,1.403508772,8.719298246,2.315789474,0.526315789,0.578947368,0.525285481,10.75438596,0.738461538,3.421052632,1.859649123
Franz Wagner,-0.150091655,-0.158443115,0.00835146,ORL,SG/SF/PF,80,32.60895833,18.5625,1.625,4.1125,3.5375,0.9625,0.2125,0.484794275,13.975,0.841614907,4.025,2.0875
Immanuel Quickley,-0.279853068,-0.158810409,-0.121042659,NYK,PG/SG,81,28.93806584,14.92592593,2.074074074,4.160493827,3.444444444,0.987654321,0.172839506,0.447649573,11.55555556,0.818548387,3.061728395,1.234567901
Kelly Olynyk,-0.09274359,-0.159107772,0.066364182,UTA,PF/C,68,28.55392157,12.45588235,1.367647059,6.176470588,3.705882353,0.882352941,0.544117647,0.499102334,8.191176471,0.853448276,3.411764706,2.470588235
Malcolm Brogdon,-0.246416645,-0.159839791,-0.086576854,BOS,PG/SG,67,26.02636816,14.92537313,1.970149254,4.179104478,3.701492537,0.671641791,0.268656716,0.483606557,10.92537313,0.869565217,2.746268657,1.462686567
Bojan Bogdanovic,-0.126561025,-0.164572898,0.038011873,DET,SF/PF,59,32.08276836,21.57627119,2.457627119,3.779661017,2.576271186,0.576271186,0.13559322,0.487528345,14.94915254,0.884488449,5.13559322,2.288135593
Marcus Smart,-0.119987959,-0.166296113,0.046308154,BOS,PG/SG,61,32.07404372,11.52459016,1.885245902,3.131147541,6.262295082,1.524590164,0.37704918,0.415282392,9.868852459,0.745762712,1.93442623,2.344262295
Donte DiVincenzo,-0.240698331,-0.167275687,-0.073422644,GSW,PG/SG,72,26.30856481,9.416666667,2.083333333,4.513888889,3.5,1.347222222,0.138888889,0.435185185,7.5,0.816901408,0.986111111,1.555555556
Josh Giddey,-0.056423112,-0.168035313,0.111612201,OKC,SG/SF,76,31.14714912,16.57894737,1,7.881578947,6.171052632,0.75,0.407894737,0.482110912,14.71052632,0.731034483,1.907894737,2.776315789
Ivica Zubac,-0.245489299,-0.169366472,-0.076122828,LAC,C,76,28.54627193,10.76315789,0,9.947368421,1.013157895,0.381578947,1.289473684,0.634241245,6.763157895,0.697478992,3.131578947,1.539473684
Keegan Murray,-0.374118827,-0.17728191,-0.196836917,SAC,SF/PF,80,29.77166667,12.2,2.575,4.6375,1.225,0.7625,0.525,0.452685422,9.775,0.765432099,1.0125,0.75
Jaden McDaniels,-0.273093727,-0.177491415,-0.095602312,MIN,SF/PF,79,30.58755274,12.06329114,1.35443038,3.886075949,1.873417722,0.936708861,0.962025316,0.516759777,9.063291139,0.736111111,1.82278481,1.417721519
Kevon Looney,-0.415046603,-0.186537544,-0.228509059,GSW,C,82,23.87235772,7.048780488,0,9.268292683,2.524390244,0.634146341,0.609756098,0.630208333,4.682926829,0.606451613,1.890243902,0.548780488
Kyle Lowry,-0.223561158,-0.194797741,-0.028763418,MIA,PG,55,31.23121212,11.18181818,1.945454545,4.090909091,5.109090909,1.036363636,0.381818182,0.404123711,8.818181818,0.859259259,2.454545455,1.872727273
Bobby Portis,-0.336766236,-0.198962911,-0.137803325,MIL,PF/C,70,25.97809524,14.1,1.357142857,9.6,1.5,0.414285714,0.228571429,0.495641345,11.47142857,0.768,1.785714286,1.157142857
Jonas Valanciunas,-0.208710953,-0.200460404,-0.008250549,NOR,C,79,24.91540084,14.11392405,0.481012658,10.17721519,1.772151899,0.253164557,0.658227848,0.546568627,10.32911392,0.825892857,2.835443038,2.012658228
Bruce Brown,-0.282555391,-0.202048054,-0.080507337,DEN,SG/SF/PF,80,28.49375,11.5375,1.1375,4.1,3.35,1.0875,0.6375,0.483130904,9.2625,0.758169935,1.9125,1.5375
Jusuf Nurkic,-0.18257777,-0.214409498,0.031831728,POR,C,52,26.75929487,13.34615385,0.826923077,9.057692308,2.865384615,0.826923077,0.846153846,0.518811881,9.711538462,0.661458333,3.692307692,2.288461538
Aaron Gordon,-0.311511807,-0.214802572,-0.096709234,DEN,SF/PF,68,30.22181373,16.30882353,0.882352941,6.558823529,2.985294118,0.794117647,0.75,0.563731932,11.19117647,0.608280255,4.617647059,1.441176471
Alex Caruso,-0.356165088,-0.215142872,-0.141022216,CHI,PG/SG,67,23.51318408,5.582089552,0.820895522,2.925373134,2.880597015,1.462686567,0.686567164,0.454545455,4.268656716,0.808219178,1.089552239,1.149253731
Bogdan Bogdanovic,-0.351517497,-0.218351596,-0.133165901,ATL,SG/SF,54,27.9345679,14,2.703703704,3.055555556,2.777777778,0.796296296,0.333333333,0.446808511,11.31481481,0.831168831,1.425925926,1.203703704
Cole Anthony,-0.305547409,-0.219677047,-0.085870362,ORL,PG,60,25.86305556,13.01666667,1.25,4.8,3.916666667,0.616666667,0.516666667,0.454098361,10.16666667,0.894117647,2.833333333,1.516666667
Saddiq Bey,-0.418387192,-0.23982786,-0.178559332,ATL,SF/PF,77,27.64437229,13.79220779,1.961038961,4.701298701,1.532467532,0.909090909,0.168831169,0.422248804,10.85714286,0.861344538,3.090909091,0.922077922
Mark Williams,-0.419305845,-0.241743695,-0.17756215,CHA,C,43,19.25542636,9,0,7.069767442,0.418604651,0.651162791,1.046511628,0.637450199,5.837209302,0.690721649,2.255813953,0.930232558
Jarred Vanderbilt,-0.387421486,-0.255642935,-0.131778551,LAL,PF/C,78,24.09722222,7.935897436,0.371794872,7.461538462,2.358974359,1.064102564,0.269230769,0.54767184,5.782051282,0.690647482,1.782051282,1.243589744
Harrison Barnes,-0.417668031,-0.256268251,-0.16139978,SAC,SF/PF,82,32.46361789,15,1.609756098,4.463414634,1.56097561,0.695121951,0.12195122,0.472819216,9.646341463,0.847457627,5.036585366,1.048780488
Monte Morris,-0.432822004,-0.258814364,-0.174007641,WAS,PG,62,27.33682796,10.25806452,1.258064516,3.387096774,5.258064516,0.693548387,0.209677419,0.47961165,8.306451613,0.831168831,1.241935484,0.967741935
Royce O'Neale,-0.353514839,-0.260068077,-0.093446761,BKN,SG/SF,76,31.69692982,8.828947368,2.144736842,5.052631579,3.723684211,0.855263158,0.644736842,0.386172007,7.802631579,0.724637681,0.907894737,1.5
Tyus Jones,-0.440914227,-0.260245791,-0.180668436,MEM,PG,80,24.24375,10.2875,1.5125,2.5,5.2125,1.0375,0.075,0.438028169,8.875,0.8,1.25,0.925
Patrick Williams,-0.397003049,-0.262558116,-0.134444933,CHI,PF,82,28.3300813,10.15853659,1.402439024,3.987804878,1.219512195,0.87804878,0.853658537,0.463810931,8.256097561,0.857142857,1.280487805,1.231707317
Jalen Duren,-0.375762678,-0.262742302,-0.113020375,DET,PF/C,67,24.92810945,9.134328358,0,8.880597015,1.119402985,0.656716418,0.880597015,0.648241206,5.940298507,0.611464968,2.343283582,1.373134328
Ben Simmons,-0.236572652,-0.265244165,0.028671514,BKN,PG/SG/PF,42,26.30833333,6.928571429,0,6.261904762,6.095238095,1.285714286,0.571428571,0.565957447,5.595238095,0.438596491,1.357142857,2.30952381
Mason Plumlee,-0.363795415,-0.266646853,-0.097148562,LAC,C,79,25.99556962,10.84810127,0,8.860759494,3.101265823,0.582278481,0.594936709,0.679752066,6.126582278,0.635782748,3.962025316,1.481012658
Larry Nance Jr.,-0.495619917,-0.271284303,-0.224335614,NOR,PF/C,65,21.24820513,6.784615385,0.215384615,5.446153846,1.830769231,0.861538462,0.569230769,0.609836066,4.692307692,0.696202532,1.215384615,0.646153846
Cade Cunningham,-0.104696909,-0.274798506,0.170101598,DET,PG/SG,12,33.34861111,19.91666667,1.416666667,6.166666667,6,0.833333333,0.583333333,0.415178571,18.66666667,0.837209302,3.583333333,3.25
Daniel Gafford,-0.438368813,-0.280190817,-0.158177996,WAS,C,78,20.56645299,9.038461538,0,5.551282051,1.076923077,0.423076923,1.269230769,0.73164557,5.064102564,0.679144385,2.397435897,1.08974359
Grayson Allen,-0.458387926,-0.28588805,-0.172499876,MIL,SG/SF,72,27.38773148,10.41666667,2.027777778,3.291666667,2.263888889,0.861111111,0.194444444,0.439856373,7.736111111,0.904761905,1.75,1
Caleb Martin,-0.443494739,-0.285939911,-0.157554828,MIA,SF/PF,71,29.257277,9.61971831,1.183098592,4.845070423,1.647887324,1,0.436619718,0.46350365,7.718309859,0.805309735,1.591549296,1.098591549
Tari Eason,-0.433538211,-0.295033815,-0.138504396,HOU,SF/PF,82,21.5504065,9.268292683,0.719512195,6.048780488,1.073170732,1.170731707,0.573170732,0.448484848,8.048780488,0.751724138,1.768292683,1.231707317
Jabari Smith Jr,-0.423684871,-0.297699465,-0.125985405,HOU,PF/C,79,31.01940928,12.78481013,1.518987342,7.202531646,1.278481013,0.544303797,0.936708861,0.408071749,11.29113924,0.786407767,2.607594937,1.316455696
