,Name,PuntV,LeagV,g,m/g,t p/g,t a/g,t 3/g,t r/g,t s/g,t b/g,t wft,t wfg,t to/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
96,Mike Conley,-0.194535307,-0.12378283,67,30.27313433,1.000024774,1.000038092,1.541490183,1.058434594,1.025490307,0.629182383,0.128028525,0.640544554,18.94089251,11.91044776,6.71641791,2.014925373,2.71641791,1.089552239,0.208955224,0.128028525,-0.435440258,-1.537313433
97,Anfernee Simons,-0.121691487,-0.13010027,62,35.00994624,1.000030476,1.000028125,2.137062948,1.055728619,0.891990212,0.643790753,0.318423946,0.613797975,9.274673388,21.06451613,4.080645161,3.419354839,2.596774194,0.677419355,0.225806452,0.318423946,-0.485519552,-2.064516129
98,John Collins,-0.272937609,-0.13623218,71,29.99530516,1.000025736,1.000003599,0.991276424,1.112306798,0.857203433,1.00825497,0.049659821,0.975477346,30.47768052,13.11267606,1.197183099,0.985915493,6.507042254,0.591549296,1.028169014,0.049659821,0.319478884,-1.112676056
99,Herb Jones,-0.249537132,-0.145176599,66,29.55353535,1.000022858,1.000017959,0.903490219,1.083123903,1.13953512,0.874799574,-0.047781632,0.82531335,24.02027664,9.833333333,2.454545455,0.848484848,4.075757576,1.560606061,0.636363636,-0.047781632,-0.050358248,-1.333333333
100,Giannis Antetokounmpo,0.13048446,-0.154011025,63,32.11931217,1.000034371,1.000034804,0.834453594,1.150452072,0.945240229,0.93938036,-1.69699001,1.362346213,0.00718144,31.0952381,5.698412698,0.746031746,11.77777778,0.825396825,0.80952381,-1.69699001,1.57239118,-3.904761905
101,Wendell Carter Jr.,-0.181347966,-0.155511954,57,29.64181287,1.000027232,1.000016795,1.232919685,1.130960835,0.828307117,0.850658822,-0.154293299,1.053007933,12.4847115,15.22807018,2.315789474,1.403508772,8.719298246,0.526315789,0.578947368,-0.154293299,0.533305529,-1.859649123
102,Franz Wagner,-0.150091655,-0.158443115,80,32.60895833,1.000029212,1.000025269,1.349721369,1.083676458,0.988845516,0.632322453,0.23366031,0.900203622,8.954006753,18.5625,3.5375,1.625,4.1125,0.9625,0.2125,0.23366031,0.127149836,-2.0875
103,Immanuel Quickley,-0.279853068,-0.158810409,81,28.93806584,1.000027031,1.000024736,1.569286892,1.084391248,0.996360877,0.59482344,0.107116806,0.697569041,26.78189439,14.92592593,3.444444444,2.074074074,4.160493827,0.987654321,0.172839506,0.107116806,-0.324090852,-1.234567901
104,Kelly Olynyk,-0.09274359,-0.159107772,68,28.55392157,1.000025222,1.000026199,1.213364158,1.109015908,0.963933588,0.835181625,0.238433291,0.926114485,4.656159652,12.45588235,3.705882353,1.367647059,6.176470588,0.882352941,0.544117647,0.238433291,0.191726258,-2.470588235
105,Malcolm Brogdon,-0.246416645,-0.159839791,67,26.02636816,1.000027031,1.000026175,1.520239847,1.084666332,0.889750776,0.677761301,0.236186137,0.883511751,20.70464337,14.92537313,3.701492537,1.970149254,4.179104478,0.671641791,0.268656716,0.236186137,0.086426915,-1.462686567
106,Bojan Bogdanovic,-0.126561025,-0.164572898,59,32.08276836,1.000030716,1.000018927,1.742696373,1.078491299,0.850645843,0.553597992,0.518313818,0.920218699,6.467457073,21.57627119,2.576271186,2.457627119,3.779661017,0.576271186,0.13559322,0.518313818,0.176885074,-2.288135593
107,Marcus Smart,-0.119987959,-0.166296113,61,32.07404372,1.000024445,1.000036692,1.479431348,1.067015754,1.131753316,0.749271518,-0.073121203,0.552011053,5.866997523,11.52459016,6.262295082,1.885245902,3.131147541,1.524590164,0.37704918,-0.073121203,-0.596211965,-2.344262295
108,Donte DiVincenzo,-0.240698331,-0.167275687,72,26.30856481,1.000022425,1.000025056,1.573610655,1.089426978,1.091409746,0.557546407,0.032875714,0.707604082,18.52583579,9.416666667,3.5,2.083333333,4.513888889,1.347222222,0.138888889,0.032875714,-0.303830338,-1.555555556
109,Josh Giddey,-0.056423112,-0.168035313,76,31.14714912,1.000028082,1.000036398,1,1.124487235,0.919036965,0.766912127,-0.100218225,0.886788759,2.44849008,16.57894737,6.171052632,1,7.881578947,0.75,0.407894737,-0.100218225,0.094368251,-2.776315789
110,Ivica Zubac,-0.245489299,-0.169366472,76,28.54627193,1.000023762,1.000000261,0,1.139461766,0.753708462,1.078140773,-0.26957779,1.225309953,18.89141489,10.76315789,1.013157895,0,9.947368421,0.381578947,1.289473684,-0.26957779,1.072267224,-1.539473684
111,Keegan Murray,-0.374118827,-0.17728191,80,29.77166667,1.000025015,1.000004059,1.793647502,1.091100903,0.923506062,0.82638789,-0.018357189,0.745752327,43.49447175,12.2,1.225,2.575,4.6375,0.7625,0.525,-0.018357189,-0.22492739,-0.75
112,Jaden McDaniels,-0.273093727,-0.177491415,79,30.58755274,1.000024902,1.000012555,1.206107742,1.080194412,0.980994396,0.988608211,-0.086493956,0.995149252,21.81941612,12.06329114,1.873417722,1.35443038,3.886075949,0.936708861,0.962025316,-0.086493956,0.372173902,-1.417721519
113,Kevon Looney,-0.415046603,-0.186537544,82,23.87235772,1.000019529,1.00001852,0,1.134892158,0.874876139,0.863811759,-0.334783069,1.117278515,52.12921411,7.048780488,2.524390244,0,9.268292683,0.634146341,0.609756098,-0.334783069,0.723570433,-0.548780488
114,Kyle Lowry,-0.223561158,-0.194797741,55,31.23121212,1.000024143,1.000032621,1.508440993,1.083352328,1.010537677,0.752063729,0.185800753,0.531696861,12.2601728,11.18181818,5.109090909,1.945454545,4.090909091,1.036363636,0.381818182,0.185800753,-0.631136547,-1.872727273
115,Bobby Portis,-0.336766236,-0.198962911,70,25.97809524,1.000026462,1.000008109,1.207599186,1.137162355,0.772120693,0.646113706,-0.027790457,0.940693327,29.09179857,14.1,1.5,1.357142857,9.6,0.414285714,0.228571429,-0.027790457,0.228802785,-1.157142857
116,Jonas Valanciunas,-0.208710953,-0.200460404,79,24.91540084,1.000026472,1.000011444,0.636309011,1.140941964,0.668206482,0.883588934,0.120024873,1.120049742,10.02664467,14.11392405,1.772151899,0.481012658,10.17721519,0.253164557,0.658227848,0.120024873,0.732052505,-2.012658228
117,Bruce Brown,-0.282555391,-0.202048054,80,28.49375,1.000024456,1.00002418,1.082832253,1.083489,1.024923051,0.875261584,-0.048563579,0.876227162,18.93661598,11.5375,3.35,1.1375,4.1,1.0875,0.6375,-0.048563579,0.068866755,-1.5375
118,Jusuf Nurkic,-0.18257777,-0.214409498,52,26.75929487,1.000025913,1.000021054,0.889238382,1.1334107,0.945752855,0.951764179,-0.450846732,1.012210433,6.463854733,13.34615385,2.865384615,0.826923077,9.057692308,0.826923077,0.846153846,-0.450846732,0.41872254,-2.288461538
119,Aaron Gordon,-0.311511807,-0.214802572,68,30.22181373,1.000027917,1.000021874,0.925599842,1.112807947,0.934583706,0.918386794,-0.809392264,1.199416729,21.23297119,16.30882353,2.985294118,0.882352941,6.558823529,0.794117647,0.75,-0.809392264,0.985226806,-1.441176471
120,Alex Caruso,-0.356165088,-0.215142872,67,23.51318408,1.000017196,1.00002116,0.885228989,1.062901651,1.118068973,0.894680508,0.026864569,0.8076672,29.33448759,5.582089552,2.880597015,0.820895522,2.925373134,1.462686567,0.686567164,0.026864569,-0.090283975,-1.149253731
121,Bogdan Bogdanovic,-0.351517497,-0.218351596,54,27.9345679,1.000026391,1.000020433,1.848507145,1.065534891,0.935335465,0.722438256,0.067882879,0.696191908,27.6871685,14,2.777777778,2.703703704,3.055555556,0.796296296,0.333333333,0.067882879,-0.32685542,-1.203703704
122,Cole Anthony,-0.305547409,-0.219677047,60,25.86305556,1.000025663,1.000027305,1.147787036,1.093238555,0.867728802,0.822484077,0.313239141,0.748288186,19.41822454,13.01666667,3.916666667,1.25,4.8,0.616666667,0.516666667,0.313239141,-0.219574947,-1.516666667
123,Saddiq Bey,-0.418387192,-0.23982786,77,27.64437229,1.000026241,1.000008538,1.51589367,1.09194846,0.972415952,0.59070729,0.240416726,0.561141157,36.92715579,13.79220779,1.532467532,1.961038961,4.701298701,0.909090909,0.168831169,0.240416726,-0.580282721,-0.922077922
124,Mark Williams,-0.419305845,-0.241743695,43,19.25542636,1.000021972,0.999982584,0,1.117562173,0.881701575,1.013545049,-0.209432039,1.186973493,36.63384277,9,0.418604651,0,7.069767442,0.651162791,1.046511628,-0.209432039,0.944193718,-0.930232558
125,Jarred Vanderbilt,-0.387421486,-0.255642935,78,24.09722222,1.000020714,1.000017165,0.542720726,1.120992836,1.018401698,0.678189562,-0.165579605,1.01128186,26.52112185,7.935897436,2.358974359,0.371794872,7.461538462,1.064102564,0.269230769,-0.165579605,0.416168595,-1.243589744
126,Harrison Barnes,-0.417668031,-0.256268251,82,32.46361789,1.000027081,1.000008906,1.341886244,1.088731,0.898768956,0.536495309,0.321812475,0.835169484,32.5465645,15,1.56097561,1.609756098,4.463414634,0.695121951,0.12195122,0.321812475,-0.027749445,-1.048780488
127,Monte Morris,-0.432822004,-0.258814364,62,27.33682796,1.000023281,1.000033196,1.152355528,1.071790992,0.898171374,0.62982515,0.059123798,0.860981033,35.30502211,10.25806452,5.258064516,1.258064516,3.387096774,0.693548387,0.209677419,0.059123798,0.032526015,-0.967741935
128,Royce O'Neale,-0.353514839,-0.260068077,76,31.69692982,1.000021781,1.000026295,1.602100394,1.096429993,0.955152329,0.878190336,-0.053497675,0.491295481,19.80944571,8.828947368,3.723684211,2.144736842,5.052631579,0.855263158,0.644736842,-0.053497675,-0.698521929,-1.5
129,Tyus Jones,-0.440914227,-0.260245791,80,24.24375,1.00002331,1.000033022,1.291212847,1.053452433,1.010862741,0.464606873,0.02054668,0.692473489,36.82186939,10.2875,5.2125,1.5125,2.5,1.0375,0.075,0.02054668,-0.334301084,-0.925
130,Patrick Williams,-0.397003049,-0.262558116,82,28.3300813,1.000023183,1.000003969,1.232339132,1.081781892,0.962551226,0.954254557,0.09421855,0.804165484,26.86494035,10.15853659,1.219512195,1.402439024,3.987804878,0.87804878,0.853658537,0.09421855,-0.098123437,-1.231707317
131,Jalen Duren,-0.375762678,-0.262742302,67,24.92810945,1.000022121,1.000002256,0,1.132139565,0.883901882,0.963068919,-0.403273687,1.211323163,22.9643685,9.134328358,1.119402985,0,8.880597015,0.656716418,0.880597015,-0.403273687,1.024970643,-1.373134328
132,Ben Simmons,-0.236572652,-0.265244165,42,26.30833333,1.000019357,1.000036151,0,1.109882051,1.076543837,0.847374362,-0.468168367,1.043095709,6.233950642,6.928571429,6.095238095,0,6.261904762,1.285714286,0.571428571,-0.468168367,0.505034865,-2.30952381
133,Mason Plumlee,-0.363795415,-0.266646853,79,25.99556962,1.00002384,1.000022636,0,1.131995692,0.853238748,0.85754492,-0.585507737,1.276234226,20.2616205,10.84810127,3.101265823,0,8.860759494,0.582278481,0.594936709,-0.585507737,1.25016691,-1.481012658
134,Larry Nance Jr.,-0.495619917,-0.271284303,65,21.24820513,1.000019147,1.000012095,0.387370645,1.101113252,0.957203792,0.846408545,-0.106176151,1.085993371,47.81821909,6.784615385,1.830769231,0.215384615,5.446153846,0.861538462,0.569230769,-0.106176151,0.629426948,-0.646153846
135,Cade Cunningham,-0.104696909,-0.274798506,12,33.34861111,1.000029916,1.000035836,1.240046706,1.108915792,0.947898613,0.852560909,0.192233814,0.185065627,0.624358943,19.91666667,6,1.416666667,6.166666667,0.833333333,0.583333333,0.192233814,-1.129656747,-3.25
136,Daniel Gafford,-0.438368813,-0.280190817,78,20.56645299,1.000022015,1.000001482,0,1.102310314,0.776893606,1.073103973,-0.250336112,1.288987315,31.20961576,9.038461538,1.076923077,0,5.551282051,0.423076923,1.269230769,-0.250336112,1.296155397,-1.08974359
137,Grayson Allen,-0.458387926,-0.28588805,72,27.38773148,1.000023434,1.000016342,1.547556366,1.070051654,0.957064422,0.615922617,0.212098686,0.72061429,34.18873016,10.41666667,2.263888889,2.027777778,3.291666667,0.861111111,0.194444444,0.212098686,-0.277258538,-1
138,Caleb Martin,-0.443494739,-0.285939911,71,29.257277,1.000022638,1.00000999,1.109443099,1.093819356,1,0.782514122,0.034611548,0.805962616,30.92581815,9.61971831,1.647887324,1.183098592,4.845070423,1,0.436619718,0.034611548,-0.094103538,-1.098591549
139,Tari Eason,-0.433538211,-0.295033815,82,21.5504065,1.000022266,1.000001412,0.816004344,1.107700068,1.047347673,0.848138092,-0.056299819,0.748552746,26.86494035,9.268292683,1.073170732,0.719512195,6.048780488,1.170731707,0.573170732,-0.056299819,-0.219015758,-1.231707317
140,Jabari Smith Jr,-0.423684871,-0.297699465,79,31.01940928,1.000025483,1.000004913,1.294630998,1.118744421,0.836516908,0.980836624,0.007418897,0.45069369,24.47781148,12.78481013,1.278481013,1.518987342,7.202531646,0.544303797,0.936708861,0.007418897,-0.763553668,-1.316455696
141,Kyle Kuzma,-0.173223315,-0.297798059,64,34.98125,1.000030542,1.000026352,1.761195404,1.119024924,0.844628943,0.791154244,-0.198505461,0.612346745,1.507130726,21.203125,3.734375,2.5,7.234375,0.5625,0.453125,-0.198505461,-0.488198661,-2.96875
142,Zach Collins,-0.313151347,-0.298009067,63,22.86693122,1.000024513,1.000020997,0.919537354,1.111070567,0.855392381,0.928324443,-0.051839638,0.994396093,9.515328445,11.6031746,2.857142857,0.873015873,6.380952381,0.587301587,0.777777778,-0.051839638,0.370137278,-2.047619048
143,Austin Reaves,-0.392248407,-0.300816717,64,28.79947917,1.000025662,1.000024235,1.200224046,1.064738637,0.823333473,0.698093251,0.333685875,1.007148267,18.72256306,13.015625,3.359375,1.34375,3.015625,0.515625,0.296875,0.333685875,0.404828294,-1.546875
144,Jordan Poole,-0.163079645,-0.302857493,82,29.97703252,1.000030169,1.000030082,1.808563539,1.059040311,0.925559569,0.668226211,0.436847533,0.486354617,1.117799214,20.42682927,4.5,2.609756098,2.743902439,0.768292683,0.256097561,0.436847533,-0.706577519,-3.073170732
145,Khris Middleton,-0.302891565,-0.30289457,33,24.26515152,1.000027121,1.000031945,1.308519012,1.085593687,0.899469444,0.572089752,0.36595785,0.611985651,8.10069498,15.06060606,4.939393939,1.545454545,4.242424242,0.696969697,0.151515152,0.36595785,-0.48886467,-2.151515152
146,Norman Powell,-0.376912935,-0.30557992,60,26.11805556,1.000028323,1.00001194,1.486572516,1.062721622,0.947898613,0.700259911,0.132552403,0.863123136,15.79008726,16.98333333,1.816666667,1.9,2.916666667,0.833333333,0.3,0.132552403,0.03759855,-1.683333333
147,Chris Boucher,-0.552230253,-0.307223999,76,20.04495614,1.000022374,0.999980731,0.881823749,1.102176927,0.868452573,0.950414223,-0.047875345,0.898562867,52.55455683,9.368421053,0.381578947,0.815789474,5.539473684,0.618421053,0.842105263,-0.047875345,0.123116719,-0.539473684
148,Drew Eubanks,-0.504466531,-0.307836399,78,20.30405983,1.000018933,1.00000556,0.225564227,1.100103919,0.822016703,1.082626512,-0.191606821,1.111722531,39.25102221,6.641025641,1.320512821,0.08974359,5.358974359,0.512820513,1.307692308,-0.191606821,0.70663552,-0.858974359
149,Quentin Grimes,-0.490815901,-0.310915703,71,29.87183099,1.000024207,1.000014959,1.632619327,1.06881475,0.885971964,0.742823812,0.017054361,0.820405155,35.16217099,11.25352113,2.112676056,2.211267606,3.225352113,0.661971831,0.366197183,0.017054361,-0.061534225,-0.971830986
150,Brandon Clarke,-0.491410562,-0.312834342,56,19.46547619,1.00002299,1.000005026,0.08320401,1.102134404,0.863774165,0.884575392,-0.149072927,1.240584853,34.80366872,9.964285714,1.285714286,0.017857143,5.535714286,0.607142857,0.660714286,-0.149072927,1.124680926,-0.982142857
151,Gordon Hayward,-0.3481276,-0.319983948,50,31.53766667,1.000026852,1.000028317,1.024522484,1.086425654,0.950117867,0.655510594,0.088270754,0.843878233,10.52084191,14.66,4.12,1.04,4.3,0.84,0.24,0.088270754,-0.007586323,-1.98
152,Jalen McDaniels,-0.480050555,-0.327048899,80,23.90916667,1.000022447,1.00000971,0.976667275,1.086783637,1.010862741,0.776292553,0.098354418,0.777786793,28.92777888,9.4375,1.625,0.9625,4.325,1.0375,0.425,0.098354418,-0.1563046,-1.1625
153,Torrey Craig,-0.52239192,-0.332542431,79,24.65527426,1.000020073,1.000007855,1.156739979,1.100492786,0.874375778,0.930800559,-0.041269867,0.79222144,36.85605398,7.443037975,1.481012658,1.265822785,5.392405063,0.632911392,0.784810127,-0.041269867,-0.124657574,-0.924050633
154,T.J. McConnell,-0.378600698,-0.337185732,75,20.34977778,1.000021595,1.00003333,0.519761007,1.066799505,1.022843533,0.550851288,0.062903191,1.030257305,11.69028477,8.666666667,5.293333333,0.346666667,3.12,1.08,0.133333333,0.062903191,0.468832501,-1.906666667
155,Dennis Smith Jr.,-0.439589923,-0.33907558,54,25.7367284,1.000021722,1.000031511,0.605978001,1.06626472,1.101209778,0.796199237,-0.093660028,0.585365826,19.37508202,8.777777778,4.833333333,0.444444444,3.092592593,1.388888889,0.462962963,-0.093660028,-0.537306393,-1.518518519
156,Caris LeVert,-0.437128593,-0.343499597,74,30.23243243,1.00002495,1.000027109,1.396031202,1.078994468,0.991991192,0.716604085,-0.149206461,0.635233526,18.25592873,12.12162162,3.878378378,1.716216216,3.810810811,0.972972973,0.324324324,-0.149206461,-0.445491293,-1.567567568
157,Naz Reid,-0.4709168,-0.344601686,68,18.39607843,1.000024411,1.000002486,1.062391499,1.09448301,0.868133442,0.928901177,-0.198712608,1.049197259,23.49605989,11.48529412,1.132352941,1.102941176,4.897058824,0.617647059,0.779411765,-0.198712608,0.522403931,-1.352941176
158,Josh Richardson,-0.478691928,-0.347487176,65,23.53179487,1.000023087,1.000019694,1.360547721,1.057898463,1.01768089,0.70552635,0.085098844,0.670637993,24.29761835,10.06153846,2.676923077,1.646153846,2.692307692,1.061538462,0.307692308,0.085098844,-0.377469645,-1.323076923
159,Keldon Johnson,-0.358708172,-0.349202523,63,32.7521164,1.000030904,1.000021327,1.593895985,1.096368148,0.911833836,0.596613271,-0.178174422,0.648735571,8.420844936,21.98412698,2.904761905,2.126984127,5.047619048,0.73015873,0.174603175,-0.178174422,-0.41983386,-2.126984127
160,Tim Hardaway Jr.,-0.557000434,-0.352658935,71,30.31361502,1.000026639,1.000011943,1.965420037,1.074401103,0.896874023,0.590896616,-0.032223073,0.369378757,39.77606138,14.35211268,1.816901408,2.985915493,3.535211268,0.690140845,0.169014085,-0.032223073,-0.886118656,-0.845070423
161,Patrick Beverley,-0.552200151,-0.355192998,67,27.11119403,1.000018236,1.000021264,1.115763832,1.076963877,0.982096201,0.864726319,-0.058680189,0.65556469,37.89337161,6.194029851,2.895522388,1.194029851,3.686567164,0.940298507,0.611940299,-0.058680189,-0.406724221,-0.895522388
162,Marvin Bagley III,-0.522496287,-0.35571146,42,23.58174603,1.000024849,0.999996917,0.612639525,1.111305759,0.792314137,0.905221518,-0.086303973,1.035285664,31.03317288,12,0.857142857,0.452380952,6.404761905,0.452380952,0.714285714,-0.086303973,0.482956372,-1.095238095
163,Kenrich Williams,-0.602396662,-0.360484059,53,22.75188679,1.000020818,1.000013673,0.964647331,1.094830991,0.953112853,0.674377279,-0.255829124,0.957365963,49.66349449,8.018867925,1.981132075,0.943396226,4.924528302,0.849056604,0.264150943,-0.255829124,0.271872067,-0.603773585
164,Killian Hayes,-0.349478082,-0.361128071,76,28.33618421,1.000023363,1.000036441,1.032191145,1.062539726,1.096422076,0.744155975,0.055802401,0.239973345,6.599012109,10.34210526,6.184210526,1.052631579,2.907894737,1.368421053,0.368421053,0.055802401,-1.061738888,-2.276315789
165,Gary Harris,-0.606701722,-0.361555411,48,24.67430556,1.000021128,1.000004127,1.514601431,1.041397278,0.981237484,0.663477755,0.07277334,0.772643193,50.57050947,8.270833333,1.229166667,1.958333333,2.041666667,0.9375,0.25,0.07277334,-0.167471671,-0.583333333
166,Steven Adams,-0.410514151,-0.362086932,42,26.98293651,1.000021512,1.000016741,0,1.149162501,0.955767935,1.027287864,-1.287609111,1.128910944,12.12036939,8.595238095,2.30952381,0,11.54761905,0.857142857,1.095238095,-1.287609111,0.759332838,-1.880952381
167,Dorian Finney-Smith,-0.556659944,-0.365071192,66,30.43585859,1.000021221,1.00000831,1.401579826,1.093081477,0.947898613,0.835788382,-0.018639344,0.525726148,36.30620923,8.348484848,1.515151515,1.727272727,4.787878788,0.833333333,0.545454545,-0.018639344,-0.641267336,-0.939393939
168,John Konchar,-0.625313055,-0.36873763,72,20.7462963,1.000016205,1.00000657,0.893490099,1.086505375,1.019899448,0.731218864,-0.002892439,0.758661867,53.73597014,5.055555556,1.388888889,0.833333333,4.305555556,1.069444444,0.347222222,-0.002892439,-0.197537319,-0.513888889
169,Isaiah Stewart,-0.497005927,-0.368743557,50,28.28,1.000024284,1.000006729,1.198153978,1.125918669,0.764209736,0.892139334,-0.135016714,0.711633426,23.30925957,11.34,1.4,1.34,8.06,0.4,0.68,-0.135016714,-0.295637807,-1.36
170,Luguentz Dort,-0.515493716,-0.369438209,74,30.70743243,1.000026166,1.000014658,1.449715344,1.091249801,1.003947158,0.707634993,-0.039766594,0.2639855,26.53110534,13.68918919,2.081081081,1.824324324,4.648648649,1.013513514,0.310810811,-0.039766594,-1.030844838,-1.243243243
171,Malik Monk,-0.417543785,-0.370377937,77,22.32900433,1.000026042,1.000027066,1.465769732,1.0566368,0.87577279,0.671025079,0.283149743,0.718685402,11.8656766,13.51948052,3.87012987,1.857142857,2.636363636,0.636363636,0.25974026,0.283149743,-0.281219923,-1.896103896
172,Bol Bol,-0.462848523,-0.370733684,70,21.5052381,1.000022036,0.999999712,0.592516897,1.104904513,0.779841195,1.059141348,-0.03749667,1.034323399,17.5405353,9.057142857,0.985714286,0.428571429,5.785714286,0.428571429,1.214285714,-0.03749667,0.480248022,-1.6
173,Aleksej Pokusevski,-0.51700535,-0.373675071,34,20.62794118,1.000020941,1.000012651,1.071119191,1.091619919,0.855791267,1.071970377,-0.159549793,0.705891552,25.9175173,8.117647059,1.882352941,1.117647059,4.676470588,0.588235294,1.264705882,-0.159549793,-0.307302301,-1.264705882
174,Jae Crowder,-0.651498154,-0.375163137,18,18.8712963,1.000019299,1.000008109,1.19446838,1.079355869,0.887811441,0.722438256,0.033180451,0.853889432,59.76800076,6.888888889,1.5,1.333333333,3.833333333,0.666666667,0.333333333,0.033180451,0.015810316,-0.388888889
175,Santi Aldama,-0.596796514,-0.379156625,77,21.84155844,1.000022016,1.000004618,1.131138421,1.093473472,0.854156619,0.869477737,-0.062766526,0.83176292,42.32752756,9.038961039,1.25974026,1.220779221,4.818181818,0.584415584,0.623376623,-0.062766526,-0.03558891,-0.779220779
176,Xavier Tillman,-0.605809791,-0.379362189,61,19.34508197,1.000019506,1.00000907,0.185820753,1.096184809,0.985308541,0.802475075,-0.339952072,1.108114859,44.66121785,7.032786885,1.573770492,0.06557377,5.032786885,0.950819672,0.475409836,-0.339952072,0.695689436,-0.721311475
177,Kenyon Martin Jr.,-0.552373569,-0.384226086,82,27.95182927,1.000025393,1.000008109,0.890795345,1.10186776,0.815931532,0.742617523,-0.279889143,1.149340932,30.57022242,12.67073171,1.5,0.829268293,5.512195122,0.5,0.365853659,-0.279889143,0.823157976,-1.109756098
178,Alec Burks,-0.548679825,-0.384649627,51,22.00816993,1.000025483,1.000016088,1.506391172,1.066371352,0.91727001,0.577992406,0.111572953,0.679686849,29.70623009,12.78431373,2.235294118,1.941176471,3.098039216,0.745098039,0.156862745,0.111572953,-0.359694448,-1.137254902
179,Jordan Clarkson,-0.263888182,-0.389231148,61,32.59562842,1.000030367,1.000029751,1.778974205,1.082471691,0.835016142,0.63286326,0.131592612,0.588403359,1.200337678,20.83606557,4.426229508,2.540983607,4.032786885,0.540983607,0.213114754,0.131592612,-0.531843762,-3.049180328
180,Isaiah Hartenstein,-0.604311671,-0.389295392,82,19.82825203,1.000015996,1.000004365,0.237506702,1.112593181,0.879780623,0.929280513,-0.093084739,0.943951843,41.32057587,4.951219512,1.243902439,0.097560976,6.536585366,0.646341463,0.780487805,-0.093084739,0.237163925,-0.804878049
181,Aaron Nesmith,-0.571412876,-0.390047853,73,24.88127854,1.000023135,1.00000589,1.324093109,1.078731814,0.920266577,0.797616452,0.105946614,0.66286501,33.25966628,10.10958904,1.342465753,1.575342466,3.794520548,0.753424658,0.465753425,0.105946614,-0.392610673,-1.02739726
182,Deni Avdija,-0.487764441,-0.395364345,76,26.58311404,1.000022161,1.000020423,0.942059921,1.111336644,0.955152329,0.751924246,-0.09589261,0.711895274,17.1428042,9.171052632,2.776315789,0.907894737,6.407894737,0.855263158,0.381578947,-0.09589261,-0.295104268,-1.618421053
183,Nicolas Batum,-0.643443825,-0.401992045,78,21.91538462,1.000018129,1.000008782,1.331556929,1.079355869,0.897699527,0.84414472,-0.046294968,0.723018901,48.03898805,6.128205128,1.551282051,1.58974359,3.833333333,0.692307692,0.564102564,-0.046294968,-0.272309442,-0.641025641
184,Victor Oladipo,-0.426923055,-0.402349025,42,26.32301587,1.000023694,1.000024919,1.370995321,1.065377414,1.093762302,0.690221532,-0.069082139,0.456197878,9.177426323,10.69047619,3.476190476,1.666666667,3.047619048,1.357142857,0.285714286,-0.069082139,-0.754891576,-2.071428571
185,Jalen Suggs,-0.472817731,-0.402994638,53,23.50660377,1.000022912,1.000021463,1.145109676,1.065180769,1.071213287,0.819059763,-0.136678416,0.619130851,14.03240252,9.886792453,2.924528302,1.245283019,3.037735849,1.264150943,0.509433962,-0.136678416,-0.475641096,-1.773584906
186,Luke Kennard,-0.625033306,-0.40431534,59,22.29096045,1.000022251,1.000008666,1.652143899,1.057577402,0.8356449,0.481711749,0.109170448,0.891778945,42.31011091,9.254237288,1.542372881,2.254237288,2.677966102,0.542372881,0.084745763,0.109170448,0.106511314,-0.779661017
187,Thomas Bryant,-0.649256175,-0.407568663,59,18.3299435,1.000022838,0.999987129,0.602800702,1.104469504,0.681829024,0.818602977,-0.09709991,1.180543742,47.90794011,9.813559322,0.525423729,0.440677966,5.745762712,0.271186441,0.508474576,-0.09709991,0.923190069,-0.644067797
188,Robert Covington,-0.645874546,-0.407609124,48,16.21979167,1.000017918,1.000003437,1.075466565,1.073059498,0.933736233,0.89504008,-0.02796888,0.783211037,46.94202879,6,1.1875,1.125,3.458333333,0.791666667,0.6875,-0.02796888,-0.144465841,-0.666666667
189,De'Andre Hunter,-0.562364583,-0.408491096,67,31.72661692,1.000027317,1.000006772,1.280659261,1.085541048,0.826488199,0.666393077,0.131381049,0.767104139,27.09305185,15.35820896,1.402985075,1.492537313,4.23880597,0.52238806,0.253731343,0.131381049,-0.179433236,-1.223880597
190,Malik Beasley,-0.583303893,-0.411902365,81,25.83888889,1.00002538,1.000008517,1.930800588,1.073682364,0.937457588,0.521917034,-0.011500897,0.33508001,30.52725446,12.65432099,1.530864198,2.901234568,3.49382716,0.802469136,0.111111111,-0.011500897,-0.934901915,-1.111111111
191,Moritz Wagner,-0.57145918,-0.412410079,57,19.46403509,1.000023539,1.000007755,0.933602916,1.089836773,0.880890019,0.645694059,0.182308713,0.917011957,28.00642847,10.52631579,1.473684211,0.894736842,4.543859649,0.649122807,0.228070175,0.182308713,0.16884956,-1.192982456
192,Nick Richards,-0.616394864,-0.413895483,65,18.7225641,1.000021023,0.999989264,0.075886306,1.111258787,0.593709657,1.026473677,-0.098337939,1.122675331,37.4484694,8.184615385,0.584615385,0.015384615,6.4,0.169230769,1.092307692,-0.098337939,0.740110527,-0.907692308
193,Isaiah Jackson,-0.632420678,-0.41490743,63,16.54470899,1.000019772,0.999995774,0.118711713,1.088907862,0.812109078,1.122163146,-0.307938853,1.019963061,41.1400034,7.222222222,0.80952381,0.031746032,4.476190476,0.492063492,1.476190476,-0.307938853,0.440138173,-0.80952381
