,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
34,Bam Adebayo,0.261330669,0.152558839,75,34.64088889,20.38666667,3.2,0.013333333,9.173333333,1.173333333,0.813333333,0.12010416176627826,0.9609969459728896,-2.493333333
35,Desmond Bane,0.208605522,0.148952347,58,31.74913793,21.5,4.379310345,2.862068966,5.017241379,0.965517241,0.379310345,0.35120095586015204,0.057268157284424304,-2.172413793
36,Jrue Holiday,0.3068078,0.132731558,67,32.57562189,19.25373134,7.388059701,2.358208955,5.089552239,1.179104478,0.373134328,0.19864790805312132,0.05019548405093611,-2.940298507
37,Karl-Anthony Towns,0.304788761,0.127537344,29,33.00172414,20.75862069,4.827586207,2.068965517,8.137931034,0.689655172,0.586206897,0.4213462556057544,0.28972952701762134,-2.965517241
38,Anthony Edwards,0.341636039,0.11810262,79,35.9685654,24.63291139,4.430379747,2.696202532,5.797468354,1.582278481,0.734177215,-0.14763849020776423,-0.32971362258953474,-3.278481013
39,Clint Capela,-0.04308511,0.106082502,65,26.61820513,11.98461538,0.892307692,0.0,11.03076923,0.692307692,1.215384615,-0.36379550713739756,1.4619538392406144,-0.830769231
40,De'Aaron Fox,0.19025876,0.09125502,73,33.35890411,25.01369863,6.123287671,1.630136986,4.191780822,1.136986301,0.315068493,-0.02421326710285913,0.6691611117721649,-2.479452055
41,Pascal Siakam,0.15962639,0.07739452,71,37.34882629,24.22535211,5.845070423,1.309859155,7.830985915,0.915492958,0.507042254,-0.06209435471968748,0.07621530915194123,-2.38028169
42,Trey Murphy,-0.092235647,0.070294817,79,30.98670886,14.53164557,1.417721519,2.556962025,3.556962025,1.126582278,0.544303797,0.29269740953622103,0.08156053944946855,-0.772151899
43,Jalen Brunson,0.104417791,0.067688385,68,34.98210784,24.01470588,6.191176471,1.970588235,3.544117647,0.897058824,0.220588235,0.26240351368691195,0.2726971067662211,-2.088235294
44,Jaylen Brown,0.227176384,0.061948077,67,35.89452736,26.62686567,3.462686567,2.432835821,6.850746269,1.119402985,0.388059701,-0.09769483005283006,0.3151130670258561,-2.940298507
45,Darius Garland,0.215647755,0.059281693,69,35.46642512,21.5942029,7.797101449,2.449275362,2.68115942,1.231884058,0.130434783,0.36922300594229734,-0.21827054732294882,-2.884057971
46,Buddy Hield,0.03988709,0.057607265,80,31.02354167,16.8,2.8125,3.6,5.0,1.15,0.325,0.06150521641028426,-0.23465425982918622,-1.7375
47,Zach LaVine,0.15659516,0.055935939,77,35.9474026,24.84415584,4.246753247,2.649350649,4.480519481,0.896103896,0.233766234,0.3588984820884869,0.16537786151699466,-2.519480519
48,Trae Young,0.393037766,0.051758768,73,34.80547945,26.21917808,10.15068493,2.109589041,2.97260274,1.095890411,0.123287671,0.8945679788546214,-0.8796889901932959,-4.109589041
49,Mitchell Robinson,-0.137641564,0.040345586,59,26.96779661,7.372881356,0.898305085,0.0,9.406779661,0.949152542,1.847457627,-0.620248204936366,0.9289008270678879,-0.694915254
50,Evan Mobley,0.035489601,0.038789214,79,34.36940928,16.16455696,2.835443038,0.278481013,9.0,0.759493671,1.506329114,-0.42029174108871914,0.9432403291489949,-1.848101266
51,Cam Johnson,-0.120968172,0.03008837,42,28.56587302,15.47619048,1.857142857,2.452380952,4.404761905,1.19047619,0.333333333,0.1660114596112509,-0.059044168124604,-0.880952381
52,Bradley Beal,0.184568876,0.02950702,50,33.45833333,23.2,5.42,1.6,3.92,0.9,0.66,0.26695428731280396,0.526780056571136,-2.9
53,Deandre Ayton,0.003219725,0.017796157,67,30.37985075,17.95522388,1.71641791,0.104477612,9.955223881,0.552238806,0.791044776,-0.0703362869678129,1.4933991024903517,-1.791044776
54,Walker Kessler,-0.156905681,0.011242351,74,23.01756757,9.175675676,0.932432432,0.013513514,8.378378378,0.351351351,2.337837838,-0.5754927351639972,1.3657013330117036,-0.783783784
55,Tobias Harris,-0.0998979,0.005445204,74,32.91711712,14.66216216,2.513513514,1.702702703,5.72972973,0.918918919,0.540540541,0.1610867206102626,0.2842833416845589,-1.202702703
56,Delon Wright,-0.149057276,0.00524866,50,24.423,7.38,3.88,0.82,3.6,1.84,0.34,0.09972481304021152,-0.008550119691935485,-0.88
57,Rudy Gobert,-0.018671889,0.004832691,70,30.69214286,13.41428571,1.242857143,0.0,11.62857143,0.8,1.357142857,-0.6773043300554136,1.4324291457015301,-1.742857143
58,Jamal Murray,0.05142888,0.0013734,65,32.82102564,19.96923077,6.153846154,2.646153846,3.953846154,1.015384615,0.246153846,0.1653917877382959,-0.3415296742449868,-2.230769231
59,Brandon Ingram,0.205553889,-0.004262284,45,34.18222222,24.71111111,5.822222222,1.422222222,5.466666667,0.711111111,0.422222222,0.5971323884845661,0.15097613236886095,-3.288888889
60,Andrew Wiggins,-0.097921267,-0.005549244,37,32.16936937,17.10810811,2.297297297,2.405405405,5.027027027,1.216216216,0.756756757,-0.3355813851333028,-0.04440890277794002,-1.297297297
61,Gary Trent,-0.178965909,-0.015046074,66,32.08964646,17.39393939,1.606060606,2.515151515,2.621212121,1.575757576,0.212121212,0.17226750670425692,-0.6026615704915881,-0.833333333
62,Al Horford,-0.217457378,-0.016095363,63,30.50952381,9.777777778,3.0,2.301587302,6.19047619,0.476190476,0.968253968,-0.02309231402129337,0.002248656143686278,-0.587301587
63,Klay Thompson,-0.038067026,-0.017765984,69,33.02705314,21.86956522,2.362318841,4.362318841,4.144927536,0.710144928,0.420289855,0.18216999154651045,-0.718424104999593,-1.782608696
64,Jakob Poeltl,-0.047432804,-0.019823195,72,26.47384259,12.45833333,2.736111111,0.0,9.069444444,0.916666667,1.194444444,-0.5346679706439044,1.3197213291779961,-1.736111111
65,Zion Williamson,0.205181967,-0.021430107,29,32.97011494,26.0,4.586206897,0.24137931,6.965517241,1.103448276,0.551724138,-0.5973634077642292,2.134435321913207,-3.413793103
66,Kris Dunn,-0.074702072,-0.024489152,22,25.7969697,13.18181818,5.636363636,0.772727273,4.545454545,1.136363636,0.454545455,-0.024037307138062187,0.6022584680886752,-1.590909091
67,Robert Williams,-0.168926267,-0.024737338,35,23.53095238,7.971428571,1.428571429,0.0,8.342857143,0.628571429,1.371428571,-0.2036019680243526,1.3180485038413075,-0.971428571
68,Jerami Grant,-0.038875017,-0.026391785,63,35.64338624,20.47619048,2.380952381,2.285714286,4.492063492,0.80952381,0.841269841,0.1590725647182774,-0.004926254253477264,-1.841269841
