,Name,PuntV,LeagV,g,m/g,p/g,a/g,3/g,r/g,s/g,b/g,wft,wfg,neg to/g
149,Quentin Grimes,-0.490815901,-0.310915703,71,29.87183099,11.25352113,2.112676056,2.211267606,3.225352113,0.661971831,0.366197183,0.017054361476437352,-0.061534224726479216,-0.971830986
150,Brandon Clarke,-0.491410562,-0.312834342,56,19.46547619,9.964285714,1.285714286,0.017857143,5.535714286,0.607142857,0.660714286,-0.14907292713892975,1.1246809264568978,-0.982142857
151,Gordon Hayward,-0.3481276,-0.319983948,50,31.53766667,14.66,4.12,1.04,4.3,0.84,0.24,0.08827075439656074,-0.007586323029259461,-1.98
152,Jalen McDaniels,-0.480050555,-0.327048899,80,23.90916667,9.4375,1.625,0.9625,4.325,1.0375,0.425,0.09835441792030412,-0.1563046002095452,-1.1625
153,Torrey Craig,-0.52239192,-0.332542431,79,24.65527426,7.443037975,1.481012658,1.265822785,5.392405063,0.632911392,0.784810127,-0.0412698674689898,-0.12465757424313623,-0.924050633
154,T.J. McConnell,-0.378600698,-0.337185732,75,20.34977778,8.666666667,5.293333333,0.346666667,3.12,1.08,0.133333333,0.06290319136906379,0.4688325011341153,-1.906666667
155,Dennis Smith Jr.,-0.439589923,-0.33907558,54,25.7367284,8.777777778,4.833333333,0.444444444,3.092592593,1.388888889,0.462962963,-0.09366002792981606,-0.5373063929802817,-1.518518519
156,Caris LeVert,-0.437128593,-0.343499597,74,30.23243243,12.12162162,3.878378378,1.716216216,3.810810811,0.972972973,0.324324324,-0.149206461378451,-0.445491292592698,-1.567567568
157,Naz Reid,-0.4709168,-0.344601686,68,18.39607843,11.48529412,1.132352941,1.102941176,4.897058824,0.617647059,0.779411765,-0.19871260841452512,0.522403931381425,-1.352941176
158,Josh Richardson,-0.478691928,-0.347487176,65,23.53179487,10.06153846,2.676923077,1.646153846,2.692307692,1.061538462,0.307692308,0.08509884406971371,-0.3774696449310164,-1.323076923
159,Keldon Johnson,-0.358708172,-0.349202523,63,32.7521164,21.98412698,2.904761905,2.126984127,5.047619048,0.73015873,0.174603175,-0.1781744215319448,-0.4198338596526725,-2.126984127
160,Tim Hardaway Jr.,-0.557000434,-0.352658935,71,30.31361502,14.35211268,1.816901408,2.985915493,3.535211268,0.690140845,0.169014085,-0.03222307340843144,-0.8861186556414157,-0.845070423
161,Patrick Beverley,-0.552200151,-0.355192998,67,27.11119403,6.194029851,2.895522388,1.194029851,3.686567164,0.940298507,0.611940299,-0.05868018887677531,-0.4067242212117852,-0.895522388
162,Marvin Bagley III,-0.522496287,-0.35571146,42,23.58174603,12.0,0.857142857,0.452380952,6.404761905,0.452380952,0.714285714,-0.08630397289944833,0.4829563721997639,-1.095238095
163,Kenrich Williams,-0.602396662,-0.360484059,53,22.75188679,8.018867925,1.981132075,0.943396226,4.924528302,0.849056604,0.264150943,-0.255829124386681,0.2718720673901851,-0.603773585
164,Killian Hayes,-0.349478082,-0.361128071,76,28.33618421,10.34210526,6.184210526,1.052631579,2.907894737,1.368421053,0.368421053,0.055802400874336675,-1.0617388878481147,-2.276315789
165,Gary Harris,-0.606701722,-0.361555411,48,24.67430556,8.270833333,1.229166667,1.958333333,2.041666667,0.9375,0.25,0.07277333991677688,-0.1674716706013958,-0.583333333
166,Steven Adams,-0.410514151,-0.362086932,42,26.98293651,8.595238095,2.30952381,0.0,11.54761905,0.857142857,1.095238095,-1.2876091111578873,0.7593328377462937,-1.880952381
167,Dorian Finney-Smith,-0.556659944,-0.365071192,66,30.43585859,8.348484848,1.515151515,1.727272727,4.787878788,0.833333333,0.545454545,-0.01863934448393433,-0.6412673363261213,-0.939393939
168,John Konchar,-0.625313055,-0.36873763,72,20.7462963,5.055555556,1.388888889,0.833333333,4.305555556,1.069444444,0.347222222,-0.0028924390665784894,-0.19753731878279332,-0.513888889
169,Isaiah Stewart,-0.497005927,-0.368743557,50,28.28,11.34,1.4,1.34,8.06,0.4,0.68,-0.13501671395680778,-0.2956378069436546,-1.36
170,Luguentz Dort,-0.515493716,-0.369438209,74,30.70743243,13.68918919,2.081081081,1.824324324,4.648648649,1.013513514,0.310810811,-0.03976659446604941,-1.0308448383819768,-1.243243243
171,Malik Monk,-0.417543785,-0.370377937,77,22.32900433,13.51948052,3.87012987,1.857142857,2.636363636,0.636363636,0.25974026,0.2831497428689437,-0.28121992273289387,-1.896103896
172,Bol Bol,-0.462848523,-0.370733684,70,21.5052381,9.057142857,0.985714286,0.428571429,5.785714286,0.428571429,1.214285714,-0.037496669866056986,0.4802480222127991,-1.6
173,Aleksej Pokusevski,-0.51700535,-0.373675071,34,20.62794118,8.117647059,1.882352941,1.117647059,4.676470588,0.588235294,1.264705882,-0.1595497926826591,-0.3073023007720114,-1.264705882
174,Jae Crowder,-0.651498154,-0.375163137,18,18.8712963,6.888888889,1.5,1.333333333,3.833333333,0.666666667,0.333333333,0.033180451261152225,0.015810315739667753,-0.388888889
175,Santi Aldama,-0.596796514,-0.379156625,77,21.84155844,9.038961039,1.25974026,1.220779221,4.818181818,0.584415584,0.623376623,-0.06276652575115561,-0.035588909525685684,-0.779220779
176,Xavier Tillman,-0.605809791,-0.379362189,61,19.34508197,7.032786885,1.573770492,0.06557377,5.032786885,0.950819672,0.475409836,-0.3399520715993434,0.6956894362890879,-0.721311475
177,Kenyon Martin Jr.,-0.552373569,-0.384226086,82,27.95182927,12.67073171,1.5,0.829268293,5.512195122,0.5,0.365853659,-0.2798891426843109,0.8231579760356693,-1.109756098
178,Alec Burks,-0.548679825,-0.384649627,51,22.00816993,12.78431373,2.235294118,1.941176471,3.098039216,0.745098039,0.156862745,0.11157295300527742,-0.35969444757515795,-1.137254902
179,Jordan Clarkson,-0.263888182,-0.389231148,61,32.59562842,20.83606557,4.426229508,2.540983607,4.032786885,0.540983607,0.213114754,0.13159261218246054,-0.5318437622465488,-3.049180328
180,Isaiah Hartenstein,-0.604311671,-0.389295392,82,19.82825203,4.951219512,1.243902439,0.097560976,6.536585366,0.646341463,0.780487805,-0.09308473892121207,0.23716392513249632,-0.804878049
181,Aaron Nesmith,-0.571412876,-0.390047853,73,24.88127854,10.10958904,1.342465753,1.575342466,3.794520548,0.753424658,0.465753425,0.10594661404512797,-0.39261067276259787,-1.02739726
182,Deni Avdija,-0.487764441,-0.395364345,76,26.58311404,9.171052632,2.776315789,0.907894737,6.407894737,0.855263158,0.381578947,-0.09589260958400414,-0.2951042684748215,-1.618421053
183,Nicolas Batum,-0.643443825,-0.401992045,78,21.91538462,6.128205128,1.551282051,1.58974359,3.833333333,0.692307692,0.564102564,-0.04629496805300841,-0.2723094421669334,-0.641025641
184,Victor Oladipo,-0.426923055,-0.402349025,42,26.32301587,10.69047619,3.476190476,1.666666667,3.047619048,1.357142857,0.285714286,-0.06908213899030606,-0.7548915757770053,-2.071428571
185,Jalen Suggs,-0.472817731,-0.402994638,53,23.50660377,9.886792453,2.924528302,1.245283019,3.037735849,1.264150943,0.509433962,-0.13667841577871323,-0.47564109648453456,-1.773584906
186,Luke Kennard,-0.625033306,-0.40431534,59,22.29096045,9.254237288,1.542372881,2.254237288,2.677966102,0.542372881,0.084745763,0.10917044780204198,0.10651131360576478,-0.779661017
187,Thomas Bryant,-0.649256175,-0.407568663,59,18.3299435,9.813559322,0.525423729,0.440677966,5.745762712,0.271186441,0.508474576,-0.0970999098960752,0.9231900691904683,-0.644067797
188,Robert Covington,-0.645874546,-0.407609124,48,16.21979167,6.0,1.1875,1.125,3.458333333,0.791666667,0.6875,-0.027968880099776623,-0.14446584141284882,-0.666666667
189,De'Andre Hunter,-0.562364583,-0.408491096,67,31.72661692,15.35820896,1.402985075,1.492537313,4.23880597,0.52238806,0.253731343,0.13138104895506444,-0.17943323576180836,-1.223880597
190,Malik Beasley,-0.583303893,-0.411902365,81,25.83888889,12.65432099,1.530864198,2.901234568,3.49382716,0.802469136,0.111111111,-0.011500897084994037,-0.9349019146993099,-1.111111111
191,Moritz Wagner,-0.57145918,-0.412410079,57,19.46403509,10.52631579,1.473684211,0.894736842,4.543859649,0.649122807,0.228070175,0.1823087130755902,0.16884955955473924,-1.192982456
192,Nick Richards,-0.616394864,-0.413895483,65,18.7225641,8.184615385,0.584615385,0.015384615,6.4,0.169230769,1.092307692,-0.09833793894606951,0.7401105268075108,-0.907692308
193,Isaiah Jackson,-0.632420678,-0.41490743,63,16.54470899,7.222222222,0.80952381,0.031746032,4.476190476,0.492063492,1.476190476,-0.3079388526918646,0.4401381732979441,-0.80952381
194,Corey Kispert,-0.645626242,-0.417711016,74,28.28693694,11.08108108,1.175675676,2.202702703,2.797297297,0.432432432,0.121621622,0.08170927345027355,0.17186351563462893,-0.743243243
195,Jalen Green,-0.360012483,-0.418381846,76,34.24035088,22.14473684,3.697368421,2.460526316,3.736842105,0.776315789,0.236842105,0.01592750379364392,-1.0588253091669937,-2.631578947
196,Marcus Morris,-0.631208725,-0.42084177,65,28.08,11.2,1.753846154,1.723076923,3.969230769,0.646153846,0.323076923,-0.0026146325927085077,-0.49034556516564826,-0.861538462
197,Jevon Carter,-0.61725071,-0.42210678,81,22.35,8.037037037,2.432098765,1.75308642,2.49382716,0.814814815,0.358024691,0.015118754045869322,-0.3675084123812245,-0.962962963
198,Russell Westbrook,-0.235112719,-0.42350065,73,29.12123288,15.87671233,7.547945205,1.219178082,5.794520548,1.04109589,0.452054795,-0.5484749884340245,-0.5399264857853074,-3.493150685
199,Max Strus,-0.632246306,-0.423578695,80,28.39875,11.5375,2.1375,2.4625,3.225,0.525,0.15,0.1032865446268628,-0.6474969829644093,-0.875
200,Coby White,-0.614959523,-0.425062803,74,23.3768018,9.662162162,2.756756757,1.72972973,2.864864865,0.72972973,0.081081081,0.0831164059598713,-0.26436976372830473,-1.0
201,Keita Bates-Diop,-0.64472251,-0.429387268,67,21.67835821,9.656716418,1.537313433,0.835820896,3.701492537,0.686567164,0.298507463,0.021874649700428923,0.22091653954174215,-0.835820896
202,Jordan Goodwin,-0.63622725,-0.433096393,62,17.84623656,6.564516129,2.709677419,0.612903226,3.306451613,0.935483871,0.419354839,-0.017190697989890234,-0.1600105087374787,-0.919354839
203,Gary Payton II,-0.665542359,-0.433261388,22,16.70984848,4.590909091,1.363636364,0.590909091,3.136363636,1.0,0.227272727,0.02341188208061729,0.3716810525292,-0.727272727
204,Paolo Banchero,-0.357509393,-0.43586464,72,33.74652778,19.95833333,3.736111111,1.180555556,6.902777778,0.833333333,0.541666667,-0.3392008134194929,-0.7601499466388323,-2.777777778
205,Troy Brown Jr,-0.681219292,-0.436070511,76,24.46885965,7.118421053,1.25,1.407894737,4.052631579,0.776315789,0.210526316,0.045277058165414774,-0.27892884113148647,-0.644736842
206,Isaiah Joe,-0.698979384,-0.436963051,73,19.11210046,9.465753425,1.205479452,2.205479452,2.397260274,0.657534247,0.109589041,0.04991416969158789,-0.24182897923525587,-0.534246575
207,Andrew Nembhard,-0.527185737,-0.438706407,75,27.64622222,9.453333333,4.546666667,1.226666667,2.653333333,0.933333333,0.173333333,0.005588204558843488,-0.2979754317247549,-1.68
208,Jonathan Isaac,-0.72784541,-0.439623297,11,11.27424242,5.0,0.545454545,0.545454545,4.0,1.272727273,0.363636364,-0.1865512637038545,-0.2919893187817429,-0.363636364
209,Jalen Smith,-0.629233342,-0.445680118,68,18.80588235,9.441176471,0.970588235,0.794117647,5.794117647,0.308823529,0.882352941,-0.049236526965529236,0.005095361541988677,-1.058823529
210,Dennis Schroder,-0.535475324,-0.448362463,66,30.08989899,12.57575758,4.515151515,1.121212121,2.5,0.757575758,0.151515152,0.2809425851145679,-0.5939747442870084,-1.696969697
211,Justise Winslow,-0.568144298,-0.448525662,29,26.75114943,6.75862069,3.379310345,0.482758621,5.0,1.034482759,0.379310345,-0.06688808203332244,-0.4547512955466652,-1.482758621
212,Jose Alvarado,-0.592483088,-0.449280831,61,21.47377049,9.016393443,3.049180328,1.360655738,2.31147541,1.098360656,0.163934426,0.03795061491207889,-0.5182834983235618,-1.327868852
213,Reggie Bullock,-0.723925526,-0.449336265,78,30.31303419,7.192307692,1.384615385,1.935897436,3.628205128,0.692307692,0.166666667,-0.03835664440593242,-0.4048342513493661,-0.461538462
214,Matisse Thybulle,-0.748029791,-0.454112955,71,16.90516432,4.126760563,0.746478873,0.76056338,1.971830986,1.169014085,0.450704225,-0.04140499096286634,-0.1457896027709168,-0.338028169
215,Cam Reddish,-0.622548526,-0.455398776,40,24.74041667,9.675,1.425,1.125,2.2,0.975,0.35,0.13082001912533064,-0.23542799069847023,-1.175
216,Eric Gordon,-0.576817482,-0.459536135,69,28.48405797,12.4057971,2.652173913,1.913043478,1.942028986,0.623188406,0.362318841,0.09338638502098603,-0.2844843591476012,-1.507246377
217,Dillon Brooks,-0.590686848,-0.460731394,73,30.33287671,14.34246575,2.589041096,1.95890411,3.342465753,0.890410959,0.219178082,-0.009159576417476578,-1.0878716992443844,-1.424657534
218,Joe Ingles,-0.625582308,-0.460879407,46,22.68623188,6.891304348,3.260869565,1.804347826,2.782608696,0.717391304,0.130434783,0.033590961255700484,-0.21679526916312658,-1.195652174
219,Charles Bassey,-0.630088352,-0.461619411,35,14.51047619,5.685714286,1.371428571,0.085714286,5.514285714,0.457142857,0.942857143,-0.19976623602805627,0.6508872537293968,-1.171428571
220,Grant Williams,-0.654958874,-0.465736811,79,25.88164557,8.113924051,1.658227848,1.455696203,4.594936709,0.518987342,0.392405063,-0.020185368123563755,-0.13204109691492066,-1.037974684
221,Bones Hyland,-0.597545168,-0.4721696,56,19.38452381,11.76785714,3.071428571,2.089285714,2.410714286,0.696428571,0.267857143,0.1085108764819321,-0.7789706571793843,-1.464285714
222,Ayo Dosunmu,-0.641240585,-0.480439008,80,26.21916667,8.5875,2.575,0.7375,2.75,0.775,0.325,0.021848277688514103,0.1231667347946667,-1.2375
223,Terance Mann,-0.681974742,-0.482967675,81,23.1100823,8.802469136,2.271604938,0.950617284,3.407407407,0.518518519,0.271604938,-0.0056838693526933964,0.28068333169791276,-0.987654321
224,Pat Connaughton,-0.763602432,-0.495313919,61,23.65027322,7.639344262,1.262295082,1.786885246,4.639344262,0.606557377,0.180327869,-0.08403391672065848,-0.5781634874136218,-0.540983607
225,Precious Achiuwa,-0.686923144,-0.498834182,55,20.73606061,9.236363636,0.909090909,0.527272727,5.963636364,0.563636364,0.545454545,-0.18475944346473114,0.0694337778293118,-1.072727273
226,Julian Champagnie,-0.753780829,-0.500882661,17,18.83137255,9.705882353,0.588235294,1.941176471,3.529411765,0.352941176,0.294117647,0.03996675586684295,-0.16708626794995893,-0.647058824
227,Mo Bamba,-0.759438462,-0.501218713,49,15.68231293,6.591836735,0.93877551,0.979591837,4.591836735,0.265306122,0.87755102,-0.15471193166460698,0.048107934407371974,-0.612244898
228,Lonnie Walker,-0.728982572,-0.502345,56,23.16071429,11.67857143,1.142857143,1.625,1.946428571,0.535714286,0.303571429,0.14182782940151387,-0.2623524549724657,-0.821428571
229,Collin Sexton,-0.591863932,-0.508442569,48,23.85625,14.27083333,2.875,1.0,2.1875,0.5625,0.125,0.14731315316527546,0.29946500287691225,-1.770833333
230,Isaac Okoro,-0.783789869,-0.514828467,76,21.74144737,6.447368421,1.144736842,0.815789474,2.460526316,0.736842105,0.394736842,-0.03561781082796607,0.08689016296843373,-0.552631579
231,Kevin Love,-0.698655354,-0.516852787,62,19.99139785,8.209677419,1.870967742,1.596774194,6.435483871,0.258064516,0.193548387,0.1402548109357414,-0.5918558125727874,-1.129032258
232,Jeremy Sochan,-0.608439126,-0.517960556,56,26.02857143,10.96428571,2.535714286,0.589285714,5.267857143,0.767857143,0.410714286,-0.17666550209641657,-0.22471669362667832,-1.732142857
233,Paul Reed,-0.77490907,-0.52035284,69,10.94299517,4.15942029,0.391304348,0.014492754,3.797101449,0.666666667,0.739130435,-0.028430369193738758,0.35622547096102786,-0.652173913
234,Gabe Vincent,-0.668886785,-0.520575005,68,25.86176471,9.426470588,2.455882353,1.720588235,2.132352941,0.911764706,0.073529412,0.10120754177113511,-0.6135231398771519,-1.352941176
235,Jeremiah Robinson-Earl,-0.808279072,-0.521664579,43,18.92364341,6.790697674,1.0,0.860465116,4.186046512,0.558139535,0.255813953,0.0486132192629736,-0.18540889331486474,-0.441860465
236,Bennedict Mathurin,-0.58111029,-0.522862818,78,28.49188034,16.69230769,1.487179487,1.282051282,4.076923077,0.615384615,0.166666667,0.2597763371697785,-0.5049589407348734,-1.948717949
237,Josh Green,-0.698934873,-0.526667779,60,25.65388889,9.1,1.716666667,1.133333333,3.033333333,0.7,0.083333333,-0.09424816179533203,0.388069459669002,-1.2
238,Isaiah Livers,-0.799198111,-0.531799203,52,23.05096154,6.653846154,0.788461538,1.423076923,2.75,0.538461538,0.538461538,0.027712623650132245,-0.3269311184805453,-0.576923077
239,Maxi Kleber,-0.776405528,-0.532137634,37,25.12837838,5.945945946,1.405405405,1.054054054,3.648648649,0.324324324,0.810810811,-0.07501029526991697,-0.09169206783210941,-0.72972973
240,A.J. Griffin,-0.801404176,-0.534624259,72,19.46203704,8.875,1.013888889,1.402777778,2.125,0.583333333,0.166666667,0.07184104375697901,-0.07702656703558282,-0.583333333
241,Seth Curry,-0.765206631,-0.536517247,61,19.84808743,9.196721311,1.62295082,1.540983607,1.639344262,0.590163934,0.114754098,0.1295746540225738,-0.09159766888936591,-0.836065574
242,Javonte Green,-0.798338573,-0.537515991,32,15.00729167,5.15625,0.71875,0.40625,2.75,0.75,0.65625,-0.16438498471850205,0.30077634915931567,-0.625
243,Theo Maledon,-0.69110885,-0.538706014,44,19.40037879,6.704545455,3.454545455,0.636363636,2.795454545,0.840909091,0.272727273,0.11400825956110666,-0.42788085928306885,-1.340909091
244,Dean Wade,-0.840628493,-0.542938587,44,20.25984848,4.681818182,0.840909091,1.022727273,3.409090909,0.636363636,0.477272727,-0.06868047940089261,-0.25450394634251455,-0.386363636
245,Jaylin Williams,-0.791163118,-0.548675706,49,18.65782313,5.87755102,1.551020408,0.93877551,4.918367347,0.571428571,0.244897959,-0.08800782477372925,-0.19005795532234504,-0.755102041
246,Rui Hachimura,-0.78226515,-0.552381916,63,23.27116402,11.22222222,0.920634921,0.80952381,4.492063492,0.301587302,0.412698413,-0.0832373987008596,0.09831105380081533,-0.841269841
247,Joe Harris,-0.826616736,-0.553088545,74,20.63581081,7.594594595,1.364864865,1.918918919,2.216216216,0.459459459,0.175675676,-0.05323992383498166,-0.11224587137199556,-0.554054054
248,Ty Jerome,-0.81240584,-0.555636941,45,18.12296296,6.866666667,3.0,0.777777778,1.733333333,0.511111111,0.111111111,0.1305318019072051,0.06403540096267522,-0.666666667
249,Jonathan Kuminga,-0.698741758,-0.555870688,67,20.80870647,9.940298507,1.865671642,0.805970149,3.447761194,0.611940299,0.462686567,-0.27062159039475686,0.36685282254770774,-1.417910448
250,Dwight Powell,-0.785424652,-0.557076677,76,19.18267544,6.657894737,0.907894737,0.0,4.131578947,0.631578947,0.342105263,-0.25840166021369365,0.9083921533995984,-0.855263158
251,Trey Lyles,-0.784315762,-0.557385317,74,16.8536036,7.594594595,0.891891892,1.175675676,4.054054054,0.364864865,0.418918919,0.05186798157069484,-0.09572872976620103,-0.864864865
252,Naji Marshall,-0.729563313,-0.56194611,77,23.27164502,9.064935065,2.454545455,0.857142857,3.623376623,0.701298701,0.181818182,0.01138357469873644,-0.3197708692667161,-1.25974026
253,Thaddeus Young,-0.80450293,-0.563590032,54,14.72962963,4.444444444,1.388888889,0.111111111,3.074074074,1.0,0.092592593,-0.04393757527943433,0.2557817103444849,-0.777777778
254,Anthony Lamb,-0.793386606,-0.566270964,62,19.2733871,6.693548387,1.548387097,1.177419355,3.467741935,0.451612903,0.322580645,-0.01635095721746037,-0.022072765377278168,-0.870967742
255,Cam Payne,-0.669975844,-0.566641955,48,20.17430556,10.27083333,4.458333333,1.416666667,2.208333333,0.6875,0.166666667,-0.023916874838230125,-0.5727133542697838,-1.6875
256,Landry Shamet,-0.789433997,-0.566671114,40,20.17166667,8.65,2.325,1.875,1.675,0.65,0.125,0.12595761320522472,-0.7427192229792983,-0.9
257,Sam Hauser,-0.873341941,-0.570485377,80,16.125,6.4,0.8875,1.75,2.55,0.3625,0.2625,-0.01650706441579586,-0.10469468656633696,-0.375
258,Josh Okogie,-0.802943396,-0.575309442,72,18.75671296,7.347222222,1.458333333,0.916666667,3.486111111,0.777777778,0.472222222,-0.15894486170828676,-0.48525140520079524,-0.875
259,Chuma Okeke,-0.840585116,-0.575692553,27,19.18518519,4.740740741,1.37037037,0.962962963,3.555555556,0.703703704,0.407407407,-0.016845028775046084,-0.5568481278048888,-0.62962963
260,Taurean Prince,-0.744773063,-0.577897366,54,22.08179012,9.12962963,1.555555556,1.37037037,2.444444444,0.518518519,0.277777778,0.08640139751832003,-0.060902680205792856,-1.277777778
261,Georges Niang,-0.833845716,-0.578151046,78,19.38226496,8.166666667,0.987179487,1.974358974,2.371794872,0.384615385,0.179487179,0.04794462166034046,-0.21537615393609513,-0.692307692
262,Terrence Ross,-0.835380371,-0.578198446,63,21.11851852,8.285714286,1.507936508,1.507936508,2.444444444,0.555555556,0.158730159,0.005696344280694618,-0.336485586108782,-0.682539683
263,Jaden Ivey,-0.458369407,-0.582798332,74,31.13963964,16.27027027,5.22972973,1.621621622,3.891891892,0.824324324,0.22972973,-0.17497710362044744,-0.7920144139791763,-3.202702703
264,Aaron Wiggins,-0.824966188,-0.582849444,70,18.53333333,6.842857143,1.142857143,0.685714286,3.0,0.557142857,0.214285714,0.04810073397996263,0.19031984870765672,-0.785714286
265,Jalen Johnson,-0.855418895,-0.582958298,70,14.87880952,5.642857143,1.185714286,0.428571429,4.028571429,0.542857143,0.485714286,-0.17311267416113,0.06894173303936381,-0.585714286
266,James Wiseman,-0.772384492,-0.582969589,45,19.27185185,10.0,0.666666667,0.088888889,5.933333333,0.155555556,0.6,-0.1779017251237081,0.6164242454024073,-1.133333333
267,JaMychal Green,-0.807305585,-0.584212422,57,13.97719298,6.421052632,0.894736842,0.736842105,3.596491228,0.438596491,0.403508772,-0.008749087012510629,0.28288831763914507,-0.912280702
268,Jericho Sims,-0.868257424,-0.585408272,52,15.62275641,3.423076923,0.480769231,0.0,4.653846154,0.288461538,0.538461538,-0.010326971128221436,0.6173180596082454,-0.519230769
269,T.J. Warren,-0.87549548,-0.586040221,42,16.35079365,7.476190476,0.952380952,0.523809524,2.880952381,0.523809524,0.285714286,0.013697786550223415,0.08481209316625553,-0.476190476
270,Jaylen Nowell,-0.797194889,-0.587049795,65,19.25717949,10.83076923,2.030769231,1.030769231,2.615384615,0.646153846,0.076923077,-0.008810814386978717,-0.26630669932178136,-1.0
271,Trendon Watford,-0.781490058,-0.592657847,62,19.05833333,7.403225806,2.096774194,0.403225806,3.838709677,0.516129032,0.193548387,-0.10252041313029767,0.4411326668574519,-1.14516129
272,Reggie Jackson,-0.699452494,-0.593339013,68,24.36617647,10.19117647,3.426470588,1.411764706,2.117647059,0.691176471,0.088235294,0.14532518831864638,-0.6094907927659536,-1.691176471
273,Devonte' Graham,-0.849315574,-0.596447485,73,18.33378995,7.383561644,2.684931507,1.630136986,1.671232877,0.616438356,0.219178082,-0.06365353370665004,-0.6030812532406927,-0.726027397
274,Shaedon Sharpe,-0.804161254,-0.598297161,80,22.23208333,9.8625,1.175,1.275,2.95,0.475,0.3,-0.09092598654976863,-0.02813676531764198,-1.0375
275,Cory Joseph,-0.825595462,-0.599249481,62,19.79569892,6.887096774,3.5,1.129032258,1.709677419,0.548387097,0.14516129,0.009411109397151595,-0.2736977399465831,-0.903225806
276,Andre Drummond,-0.797707814,-0.603601381,67,12.67686567,5.955223881,0.492537313,0.0,6.626865672,0.671641791,0.402985075,-0.46187062716582833,0.5322287206196245,-1.119402985
277,Bismack Biyombo,-0.841960786,-0.604743162,61,14.3284153,4.31147541,0.918032787,0.0,4.262295082,0.295081967,1.442622951,-0.48933419589434535,0.3443712342534829,-0.836065574
278,R.J. Barrett,-0.628564572,-0.605195906,73,33.91073059,19.60273973,2.753424658,1.657534247,5.04109589,0.424657534,0.205479452,-0.23502138834466324,-0.676964041202633,-2.246575342
279,Jae'Sean Tate,-0.739707258,-0.605524439,31,21.85376344,9.129032258,2.709677419,0.419354839,3.806451613,0.677419355,0.225806452,-0.13115558983532036,0.03437547269905914,-1.516129032
280,Damion Lee,-0.809876666,-0.605609031,74,20.3527027,8.162162162,1.337837838,1.486486486,3.040540541,0.405405405,0.094594595,0.16904707803436714,-0.20289926175612572,-1.054054054
281,Talen Horton-Tucker,-0.678652525,-0.608184451,65,20.20333333,10.73846154,3.784615385,0.892307692,3.230769231,0.630769231,0.446153846,-0.08674655740322222,-0.5323320738567385,-1.938461538
282,Mike Muscala,-0.923018612,-0.613305105,63,14.9989418,6.079365079,0.793650794,1.285714286,3.222222222,0.238095238,0.380952381,-0.011829494135966163,-0.12544764827718544,-0.365079365
283,Jordan Nwora,-0.817908751,-0.614158961,62,19.16182796,8.741935484,1.419354839,1.387096774,3.693548387,0.387096774,0.225806452,0.009896960265530297,-0.2852366794435877,-1.064516129
284,Terence Davis,-0.859108774,-0.618915421,64,13.13958333,6.734375,1.046875,1.390625,2.171875,0.671875,0.1875,0.004793840129285146,-0.2992704130926346,-0.828125
285,Jamal Cain,-0.934370187,-0.619115994,18,13.33518519,5.444444444,0.666666667,0.388888889,2.888888889,0.611111111,0.055555556,-0.013243246049228493,0.31133726901620196,-0.333333333
286,Ish Wainright,-0.932532988,-0.621976298,60,15.25083333,4.183333333,0.883333333,0.95,2.316666667,0.633333333,0.366666667,0.02849262746625121,-0.39971614207878436,-0.366666667
287,Yuta Watanabe,-0.932139371,-0.623330799,58,15.99683908,5.551724138,0.827586207,1.034482759,2.431034483,0.431034483,0.293103448,-0.048749049219003075,0.06273365307770762,-0.379310345
288,Willy Hernangomez,-0.830154176,-0.623633484,37,12.36936937,7.081081081,0.891891892,0.081081081,4.864864865,0.459459459,0.351351351,-0.013257195185982248,0.23263225579319036,-1.054054054
289,Hamidou Diallo,-0.801345279,-0.626846468,56,17.78333333,9.321428571,0.982142857,0.089285714,3.464285714,0.946428571,0.285714286,-0.5172727336655899,0.6538221178337819,-1.267857143
290,Jordan McLaughlin,-0.881473114,-0.63061468,43,15.77868217,3.744186047,3.441860465,0.558139535,1.441860465,0.744186047,0.093023256,0.020834236819878588,-0.18548616396111706,-0.76744186
291,Cedi Osman,-0.89571934,-0.630860494,77,20.10865801,8.688311688,1.493506494,1.506493506,2.285714286,0.454545455,0.142857143,-0.12499697289796903,-0.1703743556750776,-0.675324675
292,Shake Milton,-0.811651128,-0.631826361,76,20.62214912,8.381578947,3.157894737,0.736842105,2.513157895,0.328947368,0.171052632,0.10666752502681447,0.0226968972581281,-1.236842105
293,Malaki Branham,-0.825471603,-0.632609061,66,23.47828283,10.1969697,1.924242424,1.166666667,2.742424242,0.5,0.106060606,0.047736577300746055,-0.3280332238995806,-1.151515152
294,Dominick Barlow,-0.929224951,-0.641823626,28,14.55595238,3.928571429,0.857142857,0.0,3.642857143,0.357142857,0.678571429,-0.05675237155654202,0.18179117451644508,-0.535714286
295,Wenyen Gabriel,-0.908827496,-0.642666659,68,15.05514706,5.470588235,0.529411765,0.147058824,4.205882353,0.382352941,0.514705882,-0.2032244576931404,0.4605745119408576,-0.676470588
296,Usman Garuba,-0.917009116,-0.643225586,75,12.93222222,3.0,0.853333333,0.32,4.093333333,0.586666667,0.386666667,-0.10436593097895885,0.024024349875847506,-0.626666667
297,Obi Toppin,-0.927949001,-0.644928928,67,15.6778607,7.417910448,0.985074627,1.268656716,2.791044776,0.343283582,0.179104478,0.01750082309280169,-0.18382956306793477,-0.567164179
